@relation xalanA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N20-F20-weka.filters.supervised.instance.Resample-B1.0-S1-Z127.2727273

@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
3,2,169,55.333333,FALSE
0,0.333333,123,29.5,FALSE
21,2,7,0,FALSE
28,2,8,0,FALSE
42,0.625,339,24.923077,FALSE
14,0.983516,460,53.25,FALSE
0,0,25,11,FALSE
3,2,16,4.333333,FALSE
3,2,16,4.333333,FALSE
17,0.777778,106,9.1,FALSE
0,0,108,34.333333,FALSE
0,0,143,19.285714,FALSE
315,0.884444,1119,41.692308,FALSE
0,1.211538,391,69.4,FALSE
526,0.998047,300,7.606061,FALSE
819,0.95393,465,9.857143,FALSE
78,0.96875,462,25.588235,FALSE
3,2,19,5.333333,FALSE
3,2,50,15.666667,FALSE
21,2,7,0,FALSE
0,0.166667,93,21.75,FALSE
526,0.998047,300,7.606061,FALSE
42,0.625,339,24.923077,FALSE
29,0.769231,546,37.642857,FALSE
4,0.571429,75,8.125,FALSE
0,2,0,0,FALSE
21,2,7,0,FALSE
0,0.625,109,10.777778,FALSE
0,0.166667,93,21.75,FALSE
1,1.456897,583,174,FALSE
55,0.153846,212,14,FALSE
0,2,338,3,FALSE
0,0,25,11,FALSE
2,0.625,110,20.6,FALSE
819,0.95393,465,9.857143,FALSE
3,2,25,7.333333,FALSE
4,0.666667,26,5.25,FALSE
1,1.456897,583,174,FALSE
55,0.153846,212,14,FALSE
29,0.769231,546,37.642857,FALSE
526,0.998047,300,7.606061,FALSE
6,2,81,19.25,FALSE
17,0.777778,106,9.1,FALSE
714,0.739394,839,13.875,FALSE
0,0.416667,175,23.714286,FALSE
3,2,50,15.666667,FALSE
1,0.5,79,25,FALSE
444,0.719298,2278,34.296875,FALSE
1,0.5,79,25,FALSE
0,1.211538,391,69.4,FALSE
444,0.719298,2278,34.296875,FALSE
38,0.944444,265,18.923077,FALSE
2147,0.882716,2845,33.5,FALSE
4,0.571429,75,8.125,FALSE
1,2,2,0,FALSE
0,0.625,109,10.777778,FALSE
4,0.571429,75,8.125,FALSE
0,2,188,0,FALSE
0,0.636364,179,41,FALSE
38,0.944444,265,18.923077,FALSE
0,2,0,0,FALSE
0,0.636364,179,41,FALSE
3,2,25,7.333333,FALSE
6,2,4,0,FALSE
0,2,338,3,FALSE
0,0,108,34.333333,FALSE
3,2,169,55.333333,FALSE
3,2,19,5.333333,FALSE
14,0.983516,460,53.25,FALSE
0,2,11,7,FALSE
4,0.875,115,21.6,TRUE
1362,1.001603,2089,37.962264,TRUE
1362,1.001603,2089,37.962264,TRUE
1852,0.965104,842,11.492308,TRUE
4,0.875,115,21.6,TRUE
1852,0.965104,842,11.492308,TRUE
151,0.941176,274,14.166667,TRUE
1,0.333333,75,9.571429,TRUE
8,1.247951,4275,805.2,TRUE
78,0.96875,462,25.588235,TRUE
99,0.907407,335,16,TRUE
6589,0.939696,3260,25.162602,TRUE
0,0.066667,283,133,TRUE
8,1.247951,4275,805.2,TRUE
15,2,34,4.666667,TRUE
151,0.941176,274,14.166667,TRUE
29,0.825,135,10.909091,TRUE
1030,0.851307,658,11.423077,TRUE
1,2,35,16.5,TRUE
4,0.875,115,21.6,TRUE
6,0.958333,135,24.8,TRUE
4,0.875,115,21.6,TRUE
9,0.5,55,6.714286,TRUE
8,1.247951,4275,805.2,TRUE
3,2,31,9.333333,TRUE
1030,0.851307,658,11.423077,TRUE
1852,0.965104,842,11.492308,TRUE
0,0.422414,933,29.966667,TRUE
1,0.5,499,165,TRUE
4,0.875,115,21.6,TRUE
1,0.5,1248,414.666667,TRUE
6,2,295,72.75,TRUE
151,0.941176,274,14.166667,TRUE
8,1.247951,4275,805.2,TRUE
0,0.422414,933,29.966667,TRUE
0,0.55,586,96,TRUE
1,0.5,426,140.666667,TRUE
1852,0.965104,842,11.492308,TRUE
6,2,295,72.75,TRUE
9,0.5,55,6.714286,TRUE
9,0.5,55,6.714286,TRUE
0,0.5,146,23,TRUE
1,0.5,426,140.666667,TRUE
1,0.5,499,165,TRUE
0,0.422414,933,29.966667,TRUE
1,0.5,499,165,TRUE
1,2,152,49.666667,TRUE
99,0.907407,335,16,TRUE
1,0.5,426,140.666667,TRUE
8,1.247951,4275,805.2,TRUE
15,2,34,4.666667,TRUE
11,0.911111,555,76.142857,TRUE
6589,0.939696,3260,25.162602,TRUE
9,0.5,55,6.714286,TRUE
1,0.5,1248,414.666667,TRUE
15,2,34,4.666667,TRUE
8,1.247951,4275,805.2,TRUE
8,0.552632,901,43.55,TRUE
6,0.958333,135,24.8,TRUE
8,0.552632,901,43.55,TRUE
1,2,152,49.666667,TRUE
3,2,6,1,TRUE
29,0.825,135,10.909091,TRUE
0,2,1,0,TRUE
1,0.5,499,165,TRUE
4,0.875,115,21.6,TRUE
1030,0.851307,658,11.423077,TRUE
9,0.5,55,6.714286,TRUE
1,0.5,426,140.666667,TRUE
1,2,152,49.666667,TRUE
