@relation camelA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
3,2,8,79,2,11,146,1,1,FALSE
3,0,11,44,1,8,121,1,2,FALSE
3,0,18,1,2,3,157,0,5,FALSE
2,0,11,2,1,3,61,2,1,FALSE
4,0,19,156,3,15,407,3,3,FALSE
5,0,14,51,1,10,369,1,3,FALSE
5,0,1,0,0,3,47,0,2,FALSE
1,0,6,9,1,6,25,0,1,FALSE
4,0,19,160,5,13,287,2,5,FALSE
1,0,3,59,0,13,125,0,1,FALSE
2,0,7,1,0,2,48,1,4,FALSE
1,0,5,3,2,3,18,0,1,FALSE
3,0,18,126,4,14,299,1,2,FALSE
5,1,4,3,3,3,17,0,0,FALSE
2,0,18,26,1,9,183,0,5,FALSE
1,0,9,0,4,1,1,0,1,FALSE
2,0,9,0,1,3,84,1,1,FALSE
1,0,9,3,7,3,3,0,1,FALSE
1,0,0,0,0,1,4,0,0,FALSE
1,0,6,36,0,8,51,0,1,FALSE
2,0,17,47,4,11,78,1,1,FALSE
0,2,16,9,2,2,161,0,1,FALSE
3,2,8,37,2,4,127,1,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,4,0,3,1,1,0,1,FALSE
3,0,5,22,0,9,91,0,5,FALSE
2,0,20,73,2,10,243,1,6,FALSE
2,6,11,7,6,5,49,0,2,FALSE
4,2,3,0,3,1,7,0,0,FALSE
1,0,9,21,3,7,35,0,1,FALSE
1,2,9,30,4,7,97,0,2,FALSE
1,1,14,45,4,12,169,0,3,FALSE
2,0,11,1,1,6,126,1,2,FALSE
1,0,6,1,6,2,2,0,1,FALSE
2,2,7,4,3,3,37,0,2,FALSE
2,0,19,217,4,23,247,2,2,FALSE
3,0,2,1,1,3,15,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
2,0,12,12,5,13,97,0,3,FALSE
0,0,20,7,2,3,323,0,4,FALSE
4,0,6,5,1,8,168,2,3,FALSE
4,1,9,1,5,2,5,0,1,FALSE
0,2,17,39,2,2,221,0,2,FALSE
1,0,4,28,0,8,40,0,1,FALSE
6,0,3,7,1,5,80,0,3,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,6,298,4,28,271,0,9,FALSE
1,0,1,0,1,1,1,0,1,FALSE
4,0,9,39,3,10,68,1,1,FALSE
1,0,5,1,2,3,31,0,1,FALSE
1,0,8,300,3,27,248,0,4,FALSE
1,0,2,1,1,2,2,0,1,FALSE
3,0,7,0,1,2,56,1,1,FALSE
3,0,8,60,1,9,101,1,3,FALSE
1,0,5,3,4,3,3,0,1,FALSE
1,0,0,0,0,0,0,0,0,FALSE
1,0,8,0,2,8,140,0,3,FALSE
1,0,3,1,3,2,7,0,1,FALSE
1,0,3,9,1,7,59,0,1,FALSE
1,0,3,0,1,3,29,0,1,FALSE
5,0,2,3,1,3,16,0,0,FALSE
2,0,11,184,6,15,114,3,1,FALSE
3,0,5,16,1,7,87,2,1,FALSE
1,0,5,0,2,1,1,0,1,FALSE
1,0,3,0,3,1,1,0,1,FALSE
6,0,13,18,1,6,161,0,1,FALSE
4,0,6,15,0,5,45,0,1,FALSE
1,3,31,1214,6,45,737,0,7,FALSE
2,0,16,30,5,9,89,1,1,FALSE
1,0,4,3,1,3,20,0,1,FALSE
5,0,2,0,1,2,22,0,1,FALSE
5,1,10,0,1,7,198,0,4,FALSE
1,0,14,16,3,9,104,0,1,FALSE
1,0,10,105,10,9,591,0,11,FALSE
5,0,3,0,2,2,25,0,1,FALSE
1,0,1,0,1,4,52,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,8,3,1,4,151,1,1,FALSE
2,0,7,2,2,3,60,2,1,FALSE
4,0,3,0,0,1,13,0,0,FALSE
3,0,18,126,4,14,299,1,2,FALSE
2,16,26,37,18,7,115,1,2,FALSE
1,0,18,15,15,6,159,0,1,FALSE
5,0,4,0,2,2,25,0,1,FALSE
1,0,2,1,1,2,2,0,1,FALSE
1,6,8,6,6,3,37,0,2,FALSE
1,0,3,1,3,2,17,0,2,FALSE
3,0,1,4,0,3,16,1,1,FALSE
1,0,6,0,5,1,1,0,1,FALSE
2,0,7,0,1,5,153,1,4,FALSE
4,17,60,6,60,4,21,0,0,FALSE
1,0,6,6,4,4,4,0,1,FALSE
3,0,8,0,1,5,163,0,1,FALSE
3,0,9,2,2,2,33,0,1,FALSE
5,0,1,0,1,2,49,1,2,FALSE
1,0,0,0,0,0,23,0,0,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,0,7,60,0,12,63,0,1,FALSE
1,0,2,1,1,2,16,0,3,FALSE
1,0,6,0,1,2,48,0,1,FALSE
1,0,3,1,3,2,17,0,2,FALSE
3,0,4,3,1,2,16,1,1,FALSE
1,1,7,75,1,12,139,0,2,FALSE
0,0,25,102,4,9,229,0,3,FALSE
3,0,6,3,0,2,21,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
0,0,14,4,2,2,88,0,2,FALSE
1,0,0,0,0,1,1,0,1,FALSE
4,0,5,0,5,2,20,0,1,FALSE
2,1,7,0,1,7,66,1,1,TRUE
1,0,31,100,5,7,741,0,10,TRUE
2,1,9,4,4,6,103,5,3,TRUE
1,0,2,189,1,22,180,0,7,TRUE
3,0,4,3,1,2,30,2,1,TRUE
1,27,31,49,29,7,200,0,3,TRUE
3,0,8,4,1,9,92,2,2,TRUE
1,0,9,257,4,25,216,0,2,TRUE
1,0,4,10,4,5,5,0,1,TRUE
1,0,28,0,28,1,1,0,1,TRUE
5,0,8,0,7,2,21,0,1,TRUE
1,0,8,10,5,5,5,0,1,TRUE
1,3,4,58,3,10,112,0,2,TRUE
1,0,16,3,3,2,461,0,4,TRUE
5,0,8,0,7,2,21,0,1,TRUE
3,0,8,18,1,9,84,2,2,TRUE
3,0,13,129,3,16,157,1,3,TRUE
1,0,18,188,14,12,739,0,11,TRUE
2,0,13,5,2,3,85,1,1,TRUE
2,0,2,0,2,6,52,0,1,TRUE
1,0,19,3,17,3,3,0,1,TRUE
1,14,27,809,16,33,489,0,4,TRUE
2,0,4,3,1,2,32,0,1,TRUE
3,0,18,263,11,24,278,2,3,TRUE
1,0,16,78,2,12,80,0,1,TRUE
1,0,12,3,11,3,3,0,1,TRUE
3,0,9,26,1,9,214,1,8,TRUE
3,0,8,1,2,2,31,0,2,TRUE
1,0,7,28,2,7,507,0,6,TRUE
1,0,126,0,125,1,1,0,1,TRUE
1,0,109,697,105,36,923,0,8,TRUE
1,0,3,0,2,3,17,0,1,TRUE
4,0,9,21,3,7,45,4,1,TRUE
1,0,6,4,1,2,121,0,6,TRUE
1,3,12,41,10,10,91,0,1,TRUE
4,0,8,15,2,6,39,3,1,TRUE
4,0,6,5,1,8,168,2,3,TRUE
2,0,6,3,2,3,10,0,1,TRUE
1,20,41,327,29,20,278,1,5,TRUE
