@relation camelA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z41.55844156-no-replacement

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
4,3,4,0,4,1,7,0,0,FALSE
1,0,2,0,1,4,28,0,1,FALSE
1,0,6,0,6,6,57,0,2,FALSE
3,3,10,6,10,4,20,0,0,FALSE
4,0,5,0,5,2,20,0,1,FALSE
1,0,0,6,0,5,24,0,1,FALSE
1,0,5,0,4,1,1,0,1,FALSE
1,0,4,1,0,1,68,0,8,FALSE
1,0,13,347,1,27,380,0,3,FALSE
2,0,11,1,1,6,126,1,2,FALSE
1,0,185,105,184,15,15,0,1,FALSE
5,2,6,1,4,2,13,0,0,FALSE
4,0,1,0,1,3,37,0,2,FALSE
5,0,4,0,1,3,32,0,1,FALSE
0,0,12,21,0,9,80,0,1,FALSE
1,0,17,1,15,2,2,0,1,FALSE
3,0,7,3,1,4,46,1,1,FALSE
2,1,7,6,2,6,130,1,2,FALSE
3,0,7,137,3,21,230,6,4,FALSE
1,0,0,0,0,0,10,0,0,FALSE
3,0,31,99,5,10,500,1,9,FALSE
1,0,7,0,7,1,1,0,1,FALSE
1,0,3,12,2,7,100,0,4,FALSE
1,0,38,6,34,4,4,0,1,FALSE
1,0,5,3,4,3,13,0,1,FALSE
5,0,12,24,1,8,47,1,1,FALSE
1,0,10,0,10,1,1,0,1,FALSE
3,0,8,36,1,11,158,7,4,FALSE
1,7,11,24,7,5,125,0,2,FALSE
1,0,3,78,0,15,134,0,1,FALSE
1,0,0,0,0,0,0,0,0,FALSE
2,0,14,28,3,7,66,1,1,FALSE
6,0,12,0,1,2,109,1,2,FALSE
4,0,9,8,0,3,91,5,1,FALSE
3,0,4,6,1,3,62,1,1,FALSE
4,0,8,4,1,2,63,4,1,FALSE
1,0,2,243,2,25,248,0,6,FALSE
2,0,16,30,5,9,89,1,1,FALSE
2,0,23,523,4,33,339,1,2,FALSE
2,0,13,201,2,21,266,1,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
3,0,7,137,3,21,230,6,4,FALSE
3,0,9,96,3,16,119,2,3,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,12,10,9,5,5,0,1,FALSE
1,0,1,0,1,8,190,0,4,FALSE
3,0,6,0,4,4,52,0,2,FALSE
1,0,5,33,0,5,235,0,4,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,4,3,0,3,12,0,1,FALSE
1,0,5,21,0,6,44,0,1,FALSE
1,0,20,1044,8,42,620,0,6,FALSE
2,1,50,1723,12,48,1182,1,7,TRUE
1,1,16,437,1,28,251,0,2,TRUE
5,0,8,0,7,2,21,0,1,TRUE
4,0,18,291,3,24,303,3,2,TRUE
3,0,8,15,2,6,42,3,1,TRUE
1,0,6,112,4,14,301,0,1,TRUE
1,15,32,139,21,16,216,1,5,TRUE
1,0,6,3,0,3,41,0,2,TRUE
1,3,4,58,3,10,112,0,2,TRUE
3,0,18,210,5,20,280,2,4,TRUE
1,0,12,349,9,24,292,0,1,TRUE
1,0,8,43,4,11,163,0,4,TRUE
1,0,5,1,1,5,160,0,14,TRUE
1,0,1,1,1,1,37,0,3,TRUE
4,0,9,73,1,13,236,15,6,TRUE
3,0,4,13,1,6,55,2,3,TRUE
3,0,13,37,3,14,154,0,1,TRUE
1,0,9,112,5,14,273,0,1,TRUE
1,0,9,257,4,25,216,0,2,TRUE
1,0,9,85,1,10,242,0,5,TRUE
2,1,22,400,2,25,718,1,3,TRUE
1,0,39,231,24,21,358,0,4,TRUE
3,0,9,26,1,9,214,1,8,TRUE
1,0,6,76,3,11,180,0,1,TRUE
2,3,17,55,7,15,168,3,2,TRUE
2,0,2,0,1,1,5,0,0,TRUE
1,0,7,0,2,4,31,0,1,TRUE
1,0,25,22,22,6,176,0,1,TRUE
1,0,0,45,0,9,81,0,2,TRUE
1,11,23,687,13,31,405,0,4,TRUE
1,1,4,1,2,2,5,0,1,TRUE
4,0,11,21,4,7,45,4,1,TRUE
3,0,13,43,0,6,116,2,2,TRUE
4,0,4,5,0,1,99,2,2,TRUE
2,0,10,0,1,3,224,1,2,TRUE
1,0,3,105,3,13,519,0,5,TRUE
1,0,20,6,1,8,147,0,2,TRUE
3,0,12,3,0,1,67,3,1,TRUE
4,0,10,33,1,14,167,1,5,TRUE
1,0,2,3,2,2,91,0,7,TRUE
1,0,23,48,1,5,614,0,8,TRUE
3,0,8,2,1,3,122,0,3,TRUE
2,2,28,1836,12,50,1188,0,6,TRUE
2,0,1,0,1,6,52,0,1,TRUE
1,0,8,0,2,2,59,0,1,TRUE
1,0,10,1,1,2,141,0,6,TRUE
2,0,23,161,14,20,295,6,3,TRUE
2,0,9,92,3,17,141,4,3,TRUE
1,0,8,1,6,2,2,0,1,TRUE
1,0,8,74,3,12,154,0,3,TRUE
3,0,22,145,6,16,434,1,13,TRUE
2,0,12,834,4,44,345,2,1,TRUE
1,0,5,1,4,2,2,0,1,TRUE
1,0,4,1,1,2,52,0,3,TRUE
1,0,84,136,80,17,17,0,1,TRUE
1,0,126,0,125,1,1,0,1,TRUE
3,0,15,39,4,5,177,0,5,TRUE
3,0,8,21,2,4,66,0,2,TRUE
4,0,12,52,4,12,115,3,2,TRUE
1,4,4,1,4,3,14,0,1,TRUE
1,0,11,45,1,9,52,0,1,TRUE
2,0,6,30,1,8,59,4,2,TRUE
3,0,5,62,1,11,79,2,2,TRUE
1,0,18,188,14,12,739,0,11,TRUE
5,0,3,0,1,2,25,0,1,TRUE
1,0,0,0,0,5,32,0,1,TRUE
3,0,9,26,1,9,214,1,8,TRUE
2,9,15,54,10,10,98,2,2,TRUE
1,0,22,0,19,1,1,0,1,TRUE
3,0,13,129,3,16,157,1,3,TRUE
3,0,21,598,8,34,335,1,6,TRUE
2,0,10,0,1,9,92,0,1,TRUE
1,0,12,230,0,22,318,0,3,TRUE
1,0,4,0,2,2,33,0,2,TRUE
1,0,3,27,1,10,69,0,1,TRUE
1,0,12,3,11,3,3,0,1,TRUE
1,0,16,3,3,2,461,0,4,TRUE
5,0,1,0,0,3,47,0,2,TRUE
1,0,24,78,15,12,218,0,2,TRUE
1,0,4,9,1,6,75,0,4,TRUE
5,0,5,6,3,3,67,0,2,TRUE
2,0,5,16,2,8,96,0,3,TRUE
1,14,27,809,16,33,489,0,4,TRUE
1,0,7,28,0,4,237,0,11,TRUE
1,0,4,7,2,5,46,0,2,TRUE
1,0,3,0,2,1,1,0,1,TRUE
1,0,13,10,7,4,63,0,2,TRUE
1,0,28,0,28,1,1,0,1,TRUE
4,0,6,3,3,3,12,2,1,TRUE
1,0,41,435,18,29,193,0,1,TRUE
2,1,20,999,7,39,529,1,7,TRUE
1,0,9,15,8,5,102,0,5,TRUE
2,0,7,1,0,2,48,1,4,TRUE
1,0,5,0,4,1,1,0,1,TRUE
3,0,12,6,3,5,111,0,4,TRUE
1,0,16,78,2,12,80,0,1,TRUE
