@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z43.60189573-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
5,9,4,5,1,0.5,FALSE
8,14,3,8,0,1.3333,FALSE
7,16,3,5,0,3,FALSE
2,4,0,0,1,0.6667,FALSE
16,50,59,15,0.875,1.0667,FALSE
15,21,4,8,0.5,1,FALSE
10,25,3,10,0,3.6667,FALSE
0,2,0,0,0,0,FALSE
7,14,0,5,0,3,FALSE
13,44,7,10,0.181818,1.5455,FALSE
17,31,245,4,0.666667,1.3462,FALSE
71,48,1128,10,0,1,FALSE
6,5,1,4,0,0.5,FALSE
6,33,2,5,1,1.6,FALSE
7,4,6,1,0,1,FALSE
2,3,1,0,0,0,FALSE
82,6,3,0,1,0,FALSE
17,88,56,15,0.909091,2.125,FALSE
6,4,1,0,0,0,FALSE
10,21,0,9,1,1.6,FALSE
10,21,13,10,0.333333,1.1667,FALSE
8,20,8,8,0.857143,1.8,FALSE
22,21,4,9,1,2.25,FALSE
15,8,1,4,0,2.5,FALSE
10,24,11,9,0.666667,2.8333,FALSE
10,27,4,10,1,2.75,FALSE
9,32,30,6,0.857143,1.4615,FALSE
8,18,4,6,0.666667,1.5,FALSE
6,26,0,3,1,4.2,FALSE
9,13,6,9,0,0.75,FALSE
12,14,0,12,1,2,FALSE
11,92,349,11,1,1.6296,FALSE
7,22,11,4,1,1.9,FALSE
2,28,87,1,1,0.9444,FALSE
11,8,0,10,1,1.5,FALSE
10,13,1,6,0.666667,0.6667,FALSE
13,35,7,13,0.857143,1.8571,FALSE
12,30,322,0,1,0.9655,FALSE
8,19,9,1,1,1.2,FALSE
13,31,4,9,0.5,3,FALSE
11,36,17,9,0.833333,1.9091,FALSE
9,29,4,9,1,1.75,FALSE
1,1,0,0,0,1,FALSE
6,7,0,3,1,1.6667,FALSE
11,6,15,1,0,1,FALSE
12,36,3,12,0.666667,3.7143,TRUE
35,101,3,33,1,1.6667,TRUE
15,37,2,14,1,5.4,TRUE
17,39,30,16,0.75,1.3333,TRUE
20,25,2,20,1,2.25,TRUE
14,65,20,13,1,5.875,TRUE
14,35,0,7,1,1.5,TRUE
15,38,2,14,1,5.6,TRUE
38,102,30,37,1,2.2222,TRUE
14,16,0,14,1,3,TRUE
13,5,10,3,0,1,TRUE
8,27,35,5,1,1.5714,TRUE
18,58,43,16,0.666667,2.6667,TRUE
11,6,1,3,0,0,TRUE
42,105,589,20,0.9,2.0426,TRUE
4,29,58,3,1,1.5625,TRUE
14,53,78,10,1,2.5882,TRUE
17,32,11,16,0.777778,2.8333,TRUE
20,62,0,20,1,1.625,TRUE
8,8,4,7,1,0.75,TRUE
10,44,47,8,0.7,2.6,TRUE
12,60,0,11,1,8.2,TRUE
29,64,38,28,1,2.0833,TRUE
38,108,39,37,0.5,2.2,TRUE
4,13,1,4,0,0.6667,TRUE
10,30,4,10,1,1.75,TRUE
26,77,99,26,1,2.6,TRUE
18,52,37,15,1,2.0667,TRUE
12,14,0,12,1,2,TRUE
8,13,2,8,1,1,TRUE
39,96,30,38,1,2.3333,TRUE
9,27,3,9,0,2.6667,TRUE
14,19,1,12,1,2.3333,TRUE
20,33,8,18,1,2,TRUE
30,103,48,28,0.833333,4.0625,TRUE
34,96,9,32,0.75,4.2857,TRUE
9,17,13,8,1,0.8571,TRUE
15,61,234,11,1,2.08,TRUE
15,38,7,14,0.666667,4,TRUE
14,58,100,12,1,2.0588,TRUE
25,9,36,4,0,1,TRUE
11,8,0,10,1,1.5,TRUE
13,35,20,13,1,1.5,TRUE
15,1,0,3,0,1,TRUE
13,26,0,6,1,1.4,TRUE
