@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z43.60189573-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,8,0,0,1,1.4286,FALSE
8,8,4,7,1,0.75,FALSE
6,6,3,5,0,0.3333,FALSE
8,29,4,8,1,1.75,FALSE
13,40,13,13,0.6,2.6667,FALSE
7,42,9,4,1,3.2857,FALSE
21,64,0,21,1,1.625,FALSE
8,17,9,5,1,1.8571,FALSE
11,24,6,11,1,1.75,FALSE
12,10,0,9,1,0.6,FALSE
18,44,781,0,1,0.9767,FALSE
6,7,0,3,1,1.6667,FALSE
10,27,4,10,1,2.75,FALSE
7,2,1,2,0,1,FALSE
8,17,0,6,1,3,FALSE
11,27,1,9,1,3.6667,FALSE
11,6,15,1,0,1,FALSE
25,35,20,14,0.8,1.75,FALSE
19,32,9,4,1,2.8571,FALSE
13,34,2,13,1,4.5,FALSE
9,22,5,9,1,1.4286,FALSE
14,35,0,7,1,1.5,FALSE
10,30,2,10,1,4.25,FALSE
6,22,0,3,1,3,FALSE
20,59,2,20,0.75,0.6,FALSE
6,16,2,6,1,2,FALSE
4,8,4,4,1,0.5,FALSE
10,37,14,8,0.714286,3.3333,FALSE
12,1,0,2,0,1,FALSE
2,22,231,0,0,1,FALSE
22,21,4,9,1,2.25,FALSE
11,31,3,11,0,3.6667,FALSE
8,24,3,8,0,2.6667,FALSE
23,54,76,13,0.888889,2.2353,FALSE
4,2,0,0,0,0,FALSE
11,28,1,11,1,2.6667,FALSE
2,8,3,1,0,0,FALSE
11,32,13,10,0.5,1.6667,FALSE
21,44,24,21,0.8,1.125,FALSE
9,22,3,9,0,3.3333,FALSE
7,11,6,6,0.5,0.5,FALSE
2,3,1,0,0,0,FALSE
11,65,41,11,1,2.7273,FALSE
11,13,15,11,0,0.8333,FALSE
11,28,8,10,1,1.8,FALSE
4,13,1,4,0,0.6667,TRUE
11,28,6,11,0.666667,3.2,TRUE
15,38,2,14,1,5.6,TRUE
71,45,13,21,1,2.1667,TRUE
5,8,1,5,1,0.3333,TRUE
12,38,27,9,1,2,TRUE
13,26,0,6,1,1.4,TRUE
11,8,0,10,1,1.5,TRUE
4,22,2,3,1,1.75,TRUE
12,36,3,12,0.666667,3.7143,TRUE
45,147,490,29,0.909091,1.4667,TRUE
42,105,589,20,0.9,2.0426,TRUE
18,52,37,15,1,2.0667,TRUE
7,16,4,6,1,1.5,TRUE
11,56,20,10,1,5.125,TRUE
12,37,2,7,1,2.5833,TRUE
10,44,47,8,0.7,2.6,TRUE
23,33,7,5,1,2.3333,TRUE
10,30,4,10,1,1.75,TRUE
26,77,99,26,1,2.6,TRUE
5,30,1,3,0,4.5,TRUE
20,62,0,20,1,1.625,TRUE
8,27,35,5,1,1.5714,TRUE
14,65,20,13,1,5.875,TRUE
16,46,87,12,1,1.5,TRUE
13,48,63,10,0.875,2,TRUE
4,29,58,3,1,1.5625,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
25,9,36,4,0,1,TRUE
19,15,1,15,0,3.5,TRUE
10,16,3,10,0,1.6667,TRUE
31,96,28,27,0,2.875,TRUE
15,38,7,14,0.666667,4,TRUE
26,63,20,26,1,1,TRUE
13,1,0,2,0,1,TRUE
20,33,8,18,1,2,TRUE
17,38,20,17,1,1.625,TRUE
13,35,20,13,1,1.5,TRUE
20,51,0,16,1,6.4,TRUE
11,38,81,10,1,0.8667,TRUE
14,74,299,12,1,2.0333,TRUE
28,87,150,26,0.727273,2.9167,TRUE
13,5,10,3,0,1,TRUE
8,13,2,8,1,1,TRUE
18,58,43,16,0.666667,2.6667,TRUE
