@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z43.60189573-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
13,44,7,10,0.181818,1.5455,FALSE
82,6,3,0,1,0,FALSE
5,15,1,3,0,1,FALSE
11,23,2,10,1,1.25,FALSE
20,59,2,20,0.75,0.6,FALSE
6,33,2,5,1,1.6,FALSE
8,24,3,8,0,2.6667,FALSE
11,31,3,11,0,3.6667,FALSE
31,48,37,11,1,2.9286,FALSE
0,2,0,0,0,0,FALSE
17,31,245,4,0.666667,1.3462,FALSE
8,14,3,8,0,1.3333,FALSE
14,16,0,14,1,3,FALSE
2,1,0,0,0,1,FALSE
10,25,3,10,0,3.6667,FALSE
6,4,1,0,0,0,FALSE
11,28,1,11,1,2.6667,FALSE
11,13,15,11,0,0.8333,FALSE
9,1,0,1,0,1,FALSE
10,35,3,9,1,1,FALSE
12,10,0,9,1,0.6,FALSE
10,8,28,3,0,1,FALSE
5,9,4,5,1,0.5,FALSE
25,35,20,14,0.8,1.75,FALSE
2,4,0,0,1,0.6667,FALSE
15,32,9,14,0.777778,2.8333,FALSE
4,3,3,2,0,1,FALSE
5,9,4,5,1,0.5,FALSE
22,21,4,9,1,2.25,FALSE
12,29,2,12,1,2.25,FALSE
5,1,0,2,0,1,FALSE
12,22,3,10,1,3.3333,FALSE
21,44,24,21,0.8,1.125,FALSE
9,23,3,9,0,2.3333,FALSE
14,22,15,9,0,2.3333,FALSE
4,8,4,4,1,0.5,FALSE
55,4,6,1,0,1,FALSE
6,7,0,3,1,1.6667,FALSE
15,39,7,14,0.666667,4.1667,FALSE
17,88,56,15,0.909091,2.125,FALSE
14,30,1,12,0,12.5,FALSE
9,26,3,9,0,3.6667,FALSE
13,14,0,2,1,1.4286,FALSE
17,34,1,13,0.75,2.5,FALSE
7,22,11,4,1,1.9,FALSE
20,33,8,18,1,2,TRUE
20,62,0,20,1,1.625,TRUE
25,9,36,4,0,1,TRUE
8,8,4,7,1,0.75,TRUE
18,58,43,16,0.666667,2.6667,TRUE
8,27,35,5,1,1.5714,TRUE
17,32,11,16,0.777778,2.8333,TRUE
13,35,20,13,1,1.5,TRUE
12,14,0,12,1,2,TRUE
34,96,9,32,0.75,4.2857,TRUE
12,60,0,11,1,8.2,TRUE
11,6,1,3,0,0,TRUE
10,30,4,10,1,1.75,TRUE
29,64,38,28,1,2.0833,TRUE
15,61,234,11,1,2.08,TRUE
11,8,0,10,1,1.5,TRUE
15,1,0,3,0,1,TRUE
9,27,3,9,0,2.6667,TRUE
42,105,589,20,0.9,2.0426,TRUE
14,53,78,10,1,2.5882,TRUE
35,101,3,33,1,1.6667,TRUE
13,26,0,6,1,1.4,TRUE
13,5,10,3,0,1,TRUE
15,38,7,14,0.666667,4,TRUE
10,44,47,8,0.7,2.6,TRUE
4,13,1,4,0,0.6667,TRUE
15,37,2,14,1,5.4,TRUE
8,13,2,8,1,1,TRUE
14,58,100,12,1,2.0588,TRUE
17,39,30,16,0.75,1.3333,TRUE
14,16,0,14,1,3,TRUE
39,96,30,38,1,2.3333,TRUE
4,29,58,3,1,1.5625,TRUE
20,25,2,20,1,2.25,TRUE
9,17,13,8,1,0.8571,TRUE
26,77,99,26,1,2.6,TRUE
38,102,30,37,1,2.2222,TRUE
13,1,0,2,0,1,TRUE
18,71,1,16,0.857143,2.7273,TRUE
14,19,1,12,1,2.3333,TRUE
12,36,3,12,0.666667,3.7143,TRUE
18,52,37,15,1,2.0667,TRUE
14,35,0,7,1,1.5,TRUE
38,108,39,37,0.5,2.2,TRUE
15,38,2,14,1,5.6,TRUE
