@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z43.60189573-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
12,31,6,12,0.666667,2.4,FALSE
11,92,349,11,1,1.6296,FALSE
5,9,4,5,1,0.5,FALSE
7,15,3,7,0,1.3333,FALSE
5,15,1,3,0,1,FALSE
11,24,3,11,0,3,FALSE
2,4,0,0,1,0.6667,FALSE
5,9,4,5,1,0.5,FALSE
10,41,20,9,0.666667,2.375,FALSE
17,42,28,17,0.666667,1.5556,FALSE
8,8,4,7,1,0.75,FALSE
2,3,1,0,0,0,FALSE
12,19,6,8,1,3.2,FALSE
6,33,2,5,1,1.6,FALSE
14,16,0,14,1,3,FALSE
5,1,0,2,0,1,FALSE
13,40,13,13,0.6,2.6667,FALSE
4,8,28,0,0,1,FALSE
16,50,105,12,0.888889,1.4737,FALSE
5,9,4,5,1,0.5,FALSE
15,26,29,7,1,1.5714,FALSE
55,154,540,30,1,1.5574,FALSE
25,35,20,14,0.8,1.75,FALSE
12,22,3,10,1,3.3333,FALSE
17,88,56,15,0.909091,2.125,FALSE
11,31,3,11,0,3.6667,FALSE
13,22,2,12,1,1.75,FALSE
7,4,6,1,0,1,FALSE
16,49,6,14,0.666667,3.4167,FALSE
10,21,0,9,1,1.6,FALSE
11,27,1,9,1,3.6667,FALSE
11,48,7,9,0.666667,1.8,FALSE
14,67,0,13,1,10.4,FALSE
25,79,66,24,0.5,2.7692,FALSE
12,29,3,12,0,3.3333,FALSE
7,11,6,6,0.5,0.5,FALSE
16,34,257,4,0.615385,1.2692,FALSE
18,44,781,0,1,0.9767,FALSE
10,27,4,10,1,2.75,FALSE
29,76,172,17,0.714286,1.875,FALSE
10,3,3,1,0,1,FALSE
6,5,1,4,0,0.5,FALSE
2,4,0,0,1,0.6667,FALSE
4,8,28,0,0,1,FALSE
55,4,6,1,0,1,FALSE
6,6,3,5,0,0.3333,TRUE
7,22,11,4,1,1.9,TRUE
17,38,20,17,1,1.625,TRUE
23,33,7,5,1,2.3333,TRUE
39,96,30,38,1,2.3333,TRUE
14,19,1,12,1,2.3333,TRUE
14,35,0,7,1,1.5,TRUE
11,58,28,10,0.666667,4.5556,TRUE
19,15,1,15,0,3.5,TRUE
17,39,30,16,0.75,1.3333,TRUE
26,63,20,26,1,1,TRUE
38,102,30,37,1,2.2222,TRUE
13,5,10,3,0,1,TRUE
15,14,1,10,0,3.5,TRUE
8,27,35,5,1,1.5714,TRUE
35,101,3,33,1,1.6667,TRUE
28,84,99,28,1,2.6,TRUE
29,64,38,28,1,2.0833,TRUE
15,1,0,3,0,1,TRUE
13,1,0,2,0,1,TRUE
20,62,0,20,1,1.625,TRUE
11,8,0,10,1,1.5,TRUE
14,16,0,14,1,3,TRUE
20,25,2,20,1,2.25,TRUE
8,47,13,8,0.5,1.5,TRUE
15,37,2,14,1,5.4,TRUE
17,32,11,16,0.777778,2.8333,TRUE
13,35,20,13,1,1.5,TRUE
11,28,6,11,0.666667,3.2,TRUE
18,52,37,15,1,2.0667,TRUE
7,16,4,6,1,1.5,TRUE
17,57,2,16,1,7.75,TRUE
15,53,25,7,1,2.9,TRUE
16,46,87,12,1,1.5,TRUE
15,61,234,11,1,2.08,TRUE
14,53,78,10,1,2.5882,TRUE
34,96,9,32,0.75,4.2857,TRUE
9,49,4,7,1,3,TRUE
20,51,0,16,1,6.4,TRUE
45,147,490,29,0.909091,1.4667,TRUE
30,103,48,28,0.833333,4.0625,TRUE
9,27,3,9,0,2.6667,TRUE
12,14,0,12,1,2,TRUE
12,38,27,9,1,2,TRUE
31,107,104,29,0.833333,3.5,TRUE
