@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z43.60189573-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
16,34,257,4,0.615385,1.2692,FALSE
7,4,6,1,0,1,FALSE
10,41,20,9,0.666667,2.375,FALSE
11,27,6,10,0.8,1.2,FALSE
18,44,781,0,1,0.9767,FALSE
10,21,0,9,1,1.6,FALSE
12,14,1,5,0,1.5,FALSE
5,9,4,5,1,0.5,FALSE
11,8,0,10,1,1.5,FALSE
43,7,21,1,0,1,FALSE
5,8,1,5,1,0.3333,FALSE
13,60,65,10,0.454545,1.8889,FALSE
6,8,1,4,0,1.5,FALSE
14,33,6,14,0.8,1.4,FALSE
7,15,3,7,0,1.3333,FALSE
8,18,0,6,1,3,FALSE
8,19,3,8,0,3,FALSE
14,30,0,12,1,4.75,FALSE
8,29,4,8,1,1.75,FALSE
14,16,0,14,1,3,FALSE
11,26,4,11,1,2.75,FALSE
15,26,29,7,1,1.5714,FALSE
7,22,11,4,1,1.9,FALSE
11,38,0,9,1,1.3636,FALSE
11,65,41,11,1,2.7273,FALSE
12,1,0,2,0,1,FALSE
12,73,67,12,1,2.4,FALSE
15,39,7,14,0.666667,4.1667,FALSE
21,44,24,21,0.8,1.125,FALSE
10,33,28,10,0.666667,1.2222,FALSE
7,42,9,4,1,3.2857,FALSE
13,60,12,10,0,5.125,FALSE
8,18,8,7,0.5,0.8,FALSE
9,29,4,9,1,1.75,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
13,24,13,13,0.333333,1.3333,FALSE
12,14,0,12,1,2,FALSE
2,8,3,1,0,0,FALSE
12,25,4,9,0.666667,2,FALSE
9,21,20,8,0.666667,0.875,FALSE
14,17,10,2,0,2,FALSE
12,28,3,12,0,3,FALSE
4,1,0,2,0,1,FALSE
17,62,103,15,0.909091,2.0556,FALSE
17,79,1,15,0.857143,2.7273,FALSE
15,38,7,14,0.666667,4,TRUE
13,5,10,3,0,1,TRUE
42,105,589,20,0.9,2.0426,TRUE
8,27,35,5,1,1.5714,TRUE
11,38,81,10,1,0.8667,TRUE
12,60,0,11,1,8.2,TRUE
31,107,104,29,0.833333,3.5,TRUE
11,8,0,10,1,1.5,TRUE
23,33,7,5,1,2.3333,TRUE
11,6,1,3,0,0,TRUE
13,48,63,10,0.875,2,TRUE
14,74,299,12,1,2.0333,TRUE
18,52,37,15,1,2.0667,TRUE
15,14,1,10,0,3.5,TRUE
14,65,20,13,1,5.875,TRUE
34,96,9,32,0.75,4.2857,TRUE
31,96,28,27,0,2.875,TRUE
15,38,2,14,1,5.6,TRUE
14,58,100,12,1,2.0588,TRUE
9,49,4,7,1,3,TRUE
34,52,60,12,1,2.8125,TRUE
18,58,43,16,0.666667,2.6667,TRUE
12,38,27,9,1,2,TRUE
15,61,234,11,1,2.08,TRUE
10,29,20,10,1,1.25,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
13,26,2,11,1,3.5,TRUE
38,102,30,37,1,2.2222,TRUE
39,96,30,38,1,2.3333,TRUE
8,47,13,8,0.5,1.5,TRUE
6,6,3,5,0,0.3333,TRUE
26,77,99,26,1,2.6,TRUE
20,62,0,20,1,1.625,TRUE
71,45,13,21,1,2.1667,TRUE
17,39,30,16,0.75,1.3333,TRUE
14,16,0,14,1,3,TRUE
9,17,13,8,1,0.8571,TRUE
17,57,2,16,1,7.75,TRUE
13,36,493,0,1,0.9714,TRUE
29,92,213,27,0.714286,2.3704,TRUE
30,103,48,28,0.833333,4.0625,TRUE
15,58,100,13,1,2.0588,TRUE
7,16,4,6,1,1.5,TRUE
17,38,20,17,1,1.625,TRUE
29,64,38,28,1,2.0833,TRUE
