@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z37.837838-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,21,28,3,6,1,70,0,0.175,7.625,FALSE
1,7,0,1,1,2,40,0,1,37,FALSE
6,33,65,6,14,0.910256,404,1,0.595238,27,FALSE
3,7,1,3,2,2,23,0,1,10.5,FALSE
2,7,6,1,4,2,20,0,0.875,4,FALSE
6,35,4,6,7,0.714286,265,0,0.46875,31.375,FALSE
2,2,1,1,2,2,2,0,1,0,FALSE
2,35,38,0,17,0.631818,617,0,0.293651,27.857143,FALSE
2,39,10,2,8,0.714286,282,0,0.325,33.75,FALSE
5,6,15,1,6,2,6,0,0.444444,0,FALSE
4,34,0,1,1,0.785714,312,0,0.85,26.090909,FALSE
3,38,84,2,16,0.674074,541,2,0.25,32.25,FALSE
5,4,6,1,4,2,4,0,0.5,0,FALSE
2,2,0,1,1,2,4,0,1,3,FALSE
9,33,0,9,6,0.68,205,1,0.416667,32.333333,FALSE
4,20,0,4,4,0.333333,144,1,0.9,27.2,FALSE
10,28,0,6,8,0.693878,365,0,0.25,43.75,FALSE
10,26,6,9,2,1,195,0,0.5,47.5,FALSE
5,7,6,0,5,0.75,32,0,0.7,5,FALSE
22,24,19,4,5,0.666667,146,1,0.266667,13.3,FALSE
13,48,58,13,12,0.786667,480,2,0.25,28.375,FALSE
8,32,9,8,4,0.8,194,1,0.35,30.833333,TRUE
9,36,1,9,7,0.708333,250,2,0.285714,34.142857,TRUE
9,92,129,9,16,0.849817,837,3,0.309091,36.454545,TRUE
10,47,11,9,10,0.75,329,3,0.2125,31.1,TRUE
2,42,0,1,12,0.386364,236,0,0.444444,18.333333,TRUE
17,73,151,15,14,0.848485,618,0,0.221591,26.590909,TRUE
11,18,0,10,9,0.583333,78,1,0.161538,4.846154,TRUE
2,35,38,0,17,0.631818,617,0,0.293651,27.857143,TRUE
8,52,119,8,9,0.869048,523,2,0.169591,25.789474,TRUE
24,63,63,20,9,0.841346,822,0,0.333333,56.571429,TRUE
11,83,291,9,20,0.889423,658,2,0.185185,23.074074,TRUE
23,68,151,9,17,1.039216,413,0,0.152778,21.611111,TRUE
35,213,2518,35,74,0.94,2199,10,0.1375,25.777778,TRUE
8,25,10,3,7,0.6875,114,0,0.25,11.222222,TRUE
18,47,97,5,16,0.833333,273,1,0.305263,13,TRUE
16,74,92,15,14,0.824561,720,2,0.225,34.25,TRUE
11,91,108,10,15,0.776316,962,0,0.2125,46.3,TRUE
17,118,72,15,17,0.851449,1066,1,0.185185,42.916667,TRUE
3,14,1,2,3,0.5,97,0,0.666667,31,TRUE
11,38,2,10,8,0.409091,224,0,0.197917,17.5,TRUE
9,56,225,8,20,0.872727,537,2,0.24,19.230769,TRUE
