@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z37.837838-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,5,6,1,4,2,16,0,0.875,3,FALSE
15,66,78,7,12,1.083333,476,0,0.207692,35.461538,FALSE
5,21,1,5,6,0.7,136,0,0.416667,21,FALSE
7,40,129,7,16,0.936508,252,0,0.381579,11.526316,FALSE
11,28,0,9,7,0.25,122,0,0.285714,16.142857,FALSE
5,4,6,1,4,2,4,0,0.5,0,FALSE
1,2,0,1,1,2,4,0,1,3,FALSE
6,26,15,5,6,0.833333,237,0,0.285714,32.571429,FALSE
3,18,4,3,3,1,111,0,0.75,26.25,FALSE
5,17,0,5,3,0,91,0,1,29,FALSE
19,19,171,16,19,2,19,0,0.108359,0,FALSE
4,15,0,3,4,0.333333,109,0,0.5,25.75,FALSE
5,14,91,0,14,2,14,0,0.271429,0,FALSE
6,10,0,2,4,0.333333,125,0,0.5,29.5,FALSE
13,74,50,13,12,0.937037,635,1,0.288889,37.5625,FALSE
7,32,8,4,5,0.738095,300,0,0.357143,35.75,FALSE
1,0,0,0,0,2,24,0,0,0,FALSE
2,42,0,1,12,0.386364,234,0,0.444444,18.166667,FALSE
12,36,0,12,4,0.525,375,3,0.4,40.111111,FALSE
13,48,58,13,12,0.786667,485,2,0.25,28.6875,FALSE
9,25,0,3,7,0.666667,255,0,0.342857,34.857143,FALSE
1,11,6,0,5,0.65,153,0,0.5,28.6,TRUE
17,26,31,2,7,0.892308,362,1,0.3,30.727273,TRUE
8,25,10,3,7,0.6875,114,0,0.25,11.222222,TRUE
3,13,8,2,3,0.875,91,0,0.266667,16.4,TRUE
8,26,0,8,3,0.333333,125,1,0.4,30,TRUE
10,33,0,10,6,0.6,511,0,0.555556,83.5,TRUE
31,65,303,4,26,0.689655,634,0,0.17734,20.033333,TRUE
13,39,80,7,12,0.87619,341,0,0.285714,19.875,TRUE
18,55,37,16,9,0.728571,730,4,0.193333,47,TRUE
14,35,11,13,8,0.711111,216,1,0.32,20.1,TRUE
16,7,21,1,7,2,7,0,1,0,TRUE
3,7,2,2,4,0.666667,34,0,0.75,7,TRUE
4,40,130,4,18,0.736842,345,1,0.284211,15.9,TRUE
21,132,283,16,23,0.809524,1255,3,0.196078,35.5,TRUE
9,20,1,7,1,2,128,0,0.625,63,TRUE
24,56,0,8,14,0.6,353,1,0.226563,20.8125,TRUE
22,151,498,22,38,0.860884,1000,4,0.122222,19.5625,TRUE
7,57,19,7,9,0.833333,518,0,0.34,50,TRUE
11,83,291,9,20,0.889423,658,2,0.185185,23.074074,TRUE
8,23,67,2,9,0.714286,170,0,0.516667,9.933333,TRUE
202,247,4576,23,87,0.979501,2015,4,0.09087,18.81,TRUE
