@relation poiA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z109.8901099

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
3,4,0,2,1.125,22,0,0.5,0,5,TRUE
14,33,65,12,0.74359,229,0.666667,0.4,6,15.142857,TRUE
11,25,43,9,0.8,182,0,0.418182,6,15.363636,TRUE
11,21,49,9,1,109,0.2,0.522727,6,8.454545,TRUE
16,28,120,16,1.066667,104,0,0.53125,0,5.4375,TRUE
3,4,3,3,2,7,0,0.833333,0,1.333333,TRUE
8,13,28,8,1.142857,56,0,0.40625,2,5.75,TRUE
59,187,1269,24,0.892573,2395,1,0.187192,0,39.372881,TRUE
54,141,651,7,0.766926,1861,0.705882,0.174004,0,33.148148,TRUE
25,67,22,22,0.5,961,0,0.244444,5,37.36,TRUE
12,23,46,10,0.818182,122,0.5,0.4,6,9,TRUE
25,67,22,22,0.5,961,0,0.244444,5,37.36,TRUE
24,37,210,21,0.875,368,0.625,0.298611,6,14,TRUE
38,56,511,35,0.938063,603,0.625,0.239382,6,14.236842,TRUE
24,41,0,22,0.717391,411,0.875,0.35,6,15.791667,TRUE
15,25,87,13,0.803571,143,0.75,0.483333,6,8.266667,TRUE
11,22,43,9,0.85,117,0.5,0.522727,6,9.454545,TRUE
11,25,43,9,0.8,182,0,0.418182,6,15.363636,TRUE
8,15,4,5,0.428571,90,1,0.425,1,9.875,FALSE
11,21,49,9,0.85,106,0.5,0.522727,6,8.454545,FALSE
8,19,0,7,1.142857,161,0.5,0.35,5,18.875,FALSE
19,38,21,18,0.685185,284,0.833333,0.225564,2,13.631579,FALSE
0,0,0,0,2,7,0,0,0,0,FALSE
6,22,0,0,0.333333,163,1,0.5,0,25.666667,FALSE
8,15,4,5,0.428571,90,1,0.425,1,9.875,FALSE
25,29,0,24,0.388889,629,1,0.313333,1,24.04,FALSE
10,12,3,10,0.333333,69,1,0.34,0,5.8,FALSE
23,46,123,4,0.659091,668,1,0.267081,0,27.608696,FALSE
4,4,6,4,2,4,0,0.583333,0,0,FALSE
9,9,36,9,2,9,0,0.314815,0,0,FALSE
4,8,6,4,2,20,0,0.666667,0,4,FALSE
23,46,123,4,0.659091,668,1,0.267081,0,27.608696,FALSE
16,17,78,16,0.533333,172,1,0.291667,0,9.5,FALSE
6,22,0,0,0.333333,163,1,0.5,0,25.666667,FALSE
25,29,0,24,0.388889,629,1,0.313333,1,24.04,FALSE
3,21,3,2,2,112,0,0.333333,0,36.333333,FALSE
4,5,0,3,0.666667,28,1,0.4375,0,5.25,FALSE
10,12,3,10,0.333333,69,1,0.34,0,5.8,FALSE
6,13,0,4,0.5,107,1,0.458333,0,16.5,FALSE
4,5,4,4,0.333333,46,1,0.666667,0,10.25,FALSE
6,13,0,4,0.5,107,1,0.458333,0,16.5,FALSE
0,0,0,0,2,41,0,0,0,0,FALSE
23,46,123,4,0.659091,668,1,0.267081,0,27.608696,FALSE
13,22,66,11,0.805556,140,0.666667,0.4,6,9.538462,FALSE
6,13,0,4,0.5,107,1,0.458333,0,16.5,FALSE
11,21,49,9,0.933333,106,0.333333,0.522727,6,8.363636,FALSE
4,5,4,4,0.333333,46,1,0.666667,0,10.25,FALSE
23,46,123,4,0.659091,668,1,0.267081,0,27.608696,FALSE
9,9,36,9,2,9,0,0.314815,0,0,FALSE
10,12,3,10,0.333333,69,1,0.34,0,5.8,FALSE
16,17,78,16,0.533333,172,1,0.291667,0,9.5,FALSE
11,34,0,10,0.566667,210,1,0.272727,0,17.818182,FALSE
8,19,0,7,1.142857,161,0.5,0.35,5,18.875,FALSE
18,19,107,18,0.382353,170,1,0.433333,0,8.333333,FALSE
7,10,9,7,0.944444,69,0.666667,0.428571,2,8.428571,FALSE
4,5,0,3,0.666667,28,1,0.4375,0,5.25,FALSE
10,12,3,10,0.333333,69,1,0.34,0,5.8,FALSE
16,28,72,14,0.933333,254,0.333333,0.46875,6,14.3125,FALSE
10,10,45,10,2,10,0,0.4,0,0,FALSE
23,46,123,4,0.659091,668,1,0.267081,0,27.608696,FALSE
8,15,4,5,0.428571,90,1,0.425,1,9.875,FALSE
10,10,45,10,2,10,0,0.4,0,0,FALSE
8,15,4,5,0.428571,90,1,0.425,1,9.875,FALSE
32,64,312,32,0.909274,614,0.8125,0.265625,5,17.6875,FALSE
14,25,77,11,0.861538,212,0.8,0.517857,5,13.785714,FALSE
4,4,6,4,2,4,0,0.583333,0,0,FALSE
57,87,1362,17,0.927083,1806,1,0.265306,7,30.473684,FALSE
8,23,0,8,0.142857,115,1,0.375,1,13.25,FALSE
