@relation Keymind-AA-weka.filters.supervised.instance.Resample-B1.0-S1-Z143.9

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
0,-6,44,TRUE
41,24,38,TRUE
47,7,34,TRUE
9,6,79,TRUE
0,-1,38,TRUE
0,-6,54,TRUE
0,0,192,TRUE
0,-10,111,TRUE
0,-25,88,TRUE
6,7,28,TRUE
10,45,78,TRUE
0,-25,88,TRUE
35,7,43,TRUE
0,-10,48,TRUE
13,7,79,TRUE
0,-21,42,TRUE
37,26,155,TRUE
0,-6,46,TRUE
8,23,41,TRUE
0,-28,35,TRUE
38,27,63,TRUE
0,-7,61,TRUE
23,27,23,TRUE
0,-28,48,TRUE
12,9,28,TRUE
0,-28,48,TRUE
52,8,44,TRUE
35,45,13,TRUE
0,-6,44,TRUE
0,-28,111,TRUE
0,-28,55,TRUE
13,7,79,TRUE
26,6,33,TRUE
0,-7,61,TRUE
18,12,47,TRUE
0,-6,46,TRUE
9,6,79,TRUE
0,-21,35,TRUE
13,26,137,TRUE
0,0,78,TRUE
0,-37,51,TRUE
29,7,47,TRUE
0,-28,38,TRUE
3,45,21,TRUE
33,8,32,TRUE
0,-41,28,TRUE
35,45,13,TRUE
0,-6,44,TRUE
37,26,155,TRUE
8,23,41,TRUE
29,7,47,TRUE
91,24,70,TRUE
47,7,34,TRUE
46,9,75,TRUE
0,-28,38,TRUE
9,25,25,TRUE
0,-19,59,TRUE
12,9,28,TRUE
0,0,395,TRUE
26,6,33,TRUE
0,-90,105,TRUE
0,-28,48,TRUE
0,-28,55,TRUE
0,0,395,TRUE
0,-23,28,TRUE
0,25,43,TRUE
0,0,395,TRUE
0,-7,22,TRUE
0,-1,38,TRUE
0,-25,88,TRUE
19,6,22,TRUE
64,6,84,TRUE
0,45,38,TRUE
3,6,55,TRUE
0,-8,57,TRUE
35,45,13,TRUE
0,-10,81,TRUE
0,-7,22,TRUE
0,-41,28,TRUE
20,9,56,TRUE
0,27,38,TRUE
0,-28,48,TRUE
0,-7,120,TRUE
0,-37,59,TRUE
0,-28,111,TRUE
0,0,78,TRUE
0,-21,35,TRUE
0,-6,19,TRUE
0,-5,19,TRUE
0,-24,39,TRUE
0,-1,27,TRUE
19,6,22,TRUE
0,-10,81,TRUE
18,12,47,TRUE
31,25,50,TRUE
46,9,75,TRUE
0,0,48,TRUE
38,27,63,TRUE
18,12,47,TRUE
37,26,155,TRUE
0,0,192,TRUE
0,-6,44,TRUE
33,8,32,TRUE
2,25,28,TRUE
0,-7,20,TRUE
0,-8,47,TRUE
0,0,44,TRUE
9,6,59,TRUE
0,-28,121,TRUE
37,26,155,TRUE
0,27,56,TRUE
0,-7,61,TRUE
0,-24,44,TRUE
0,-28,81,TRUE
87,10,86,TRUE
0,-25,120,TRUE
0,-25,22,TRUE
0,0,25,TRUE
0,-7,120,TRUE
0,-6,54,TRUE
0,-37,59,TRUE
0,-8,57,TRUE
0,-37,59,TRUE
0,-28,111,TRUE
0,-7,46,TRUE
38,27,63,TRUE
35,7,43,TRUE
0,0,35,TRUE
0,-28,34,TRUE
0,-21,35,TRUE
0,0,44,TRUE
10,45,78,TRUE
64,6,84,TRUE
0,0,78,TRUE
0,-7,88,TRUE
0,44,137,TRUE
0,-7,81,TRUE
0,-10,35,TRUE
0,-7,46,TRUE
0,-4,25,TRUE
3,6,55,TRUE
0,-10,81,TRUE
0,-28,48,TRUE
0,0,78,TRUE
0,-8,126,TRUE
52,9,9,TRUE
0,-21,35,TRUE
20,9,56,TRUE
0,0,25,TRUE
0,0,192,TRUE
38,27,63,TRUE
12,9,28,TRUE
41,24,38,TRUE
0,-10,145,TRUE
0,-25,120,TRUE
0,-21,35,TRUE
0,-6,19,TRUE
0,0,35,TRUE
0,-10,35,TRUE
0,-28,38,TRUE
0,-4,25,TRUE
0,0,25,TRUE
0,-10,145,TRUE
0,-10,34,TRUE
20,9,38,TRUE
0,-25,88,TRUE
26,6,33,TRUE
0,-25,46,TRUE
38,27,63,TRUE
49,9,29,TRUE
9,6,79,TRUE
0,-25,81,TRUE
33,8,32,TRUE
0,-5,84,TRUE
29,6,29,TRUE
39,26,49,TRUE
0,-39,35,TRUE
0,-10,34,TRUE
52,8,44,TRUE
0,0,44,TRUE
0,-25,120,TRUE
38,18,25,TRUE
10,45,78,TRUE
0,-10,111,TRUE
0,-28,35,TRUE
0,-10,48,TRUE
0,-7,88,TRUE
0,-6,12,TRUE
0,27,38,TRUE
0,-8,57,TRUE
0,-28,111,TRUE
19,6,22,TRUE
0,-7,81,TRUE
0,27,56,TRUE
3,45,21,TRUE
18,12,47,TRUE
38,27,63,TRUE
0,-7,46,TRUE
23,27,23,TRUE
0,-39,42,TRUE
31,25,50,TRUE
0,-24,39,TRUE
0,-5,84,TRUE
0,0,56,TRUE
0,-41,28,TRUE
0,-6,39,TRUE
0,-6,60,TRUE
0,-28,38,TRUE
0,-39,42,TRUE
0,-10,35,TRUE
0,-8,57,TRUE
95,17,39,TRUE
39,26,49,TRUE
8,23,41,TRUE
0,-28,121,TRUE
0,-21,42,TRUE
26,6,33,TRUE
0,27,56,TRUE
0,0,35,TRUE
0,-28,111,TRUE
0,27,38,TRUE
0,-28,52,TRUE
87,10,86,TRUE
0,-22,11,FALSE
0,-39,53,FALSE
0,-45,45,FALSE
0,-44,669,FALSE
27,27,10,FALSE
0,45,7,FALSE
0,-10,36,FALSE
0,-62,689,FALSE
34,18,3,FALSE
0,-39,346,FALSE
0,-45,35,FALSE
0,-45,41,FALSE
1,44,67,FALSE
0,-24,29,FALSE
0,-11,26,FALSE
0,-41,2,FALSE
0,-63,41,FALSE
0,-4,53,FALSE
0,-53,10,FALSE
0,-20,92,FALSE
0,-39,17,FALSE
9,27,12,FALSE
1,44,131,FALSE
19,18,2,FALSE
0,-20,92,FALSE
0,-44,1279,FALSE
0,-22,5,FALSE
27,27,10,FALSE
0,-10,35,FALSE
9,27,12,FALSE
22,9,71,FALSE
0,-29,83,FALSE
0,-10,29,FALSE
6,7,29,FALSE
0,-16,50,FALSE
0,-28,29,FALSE
10,9,19,FALSE
0,-53,94,FALSE
0,-25,61,FALSE
0,-7,25,FALSE
0,-53,10,FALSE
0,-53,10,FALSE
33,10,51,FALSE
33,10,51,FALSE
0,-29,83,FALSE
10,13,16,FALSE
0,-21,17,FALSE
19,18,2,FALSE
0,0,37,FALSE
0,-5,17,FALSE
0,-10,62,FALSE
0,-6,35,FALSE
13,8,16,FALSE
0,-6,29,FALSE
0,-62,1279,FALSE
0,-45,35,FALSE
13,8,21,FALSE
0,-8,56,FALSE
0,-41,2,FALSE
15,45,17,FALSE
0,-6,39,FALSE
0,-25,101,FALSE
2,8,58,FALSE
0,-37,31,FALSE
0,-44,1279,FALSE
4,7,21,FALSE
0,-10,37,FALSE
7,12,49,FALSE
0,-62,1279,FALSE
20,11,12,FALSE
6,7,29,FALSE
0,0,116,FALSE
0,0,28,FALSE
0,-62,1279,FALSE
0,-6,28,FALSE
18,27,21,FALSE
0,0,44,FALSE
0,-10,35,FALSE
0,-29,83,FALSE
0,-44,1279,FALSE
0,-7,101,FALSE
18,9,42,FALSE
21,12,30,FALSE
0,-44,1279,FALSE
0,-11,65,FALSE
0,-28,36,FALSE
0,-62,652,FALSE
18,9,7,FALSE
0,-16,50,FALSE
12,9,23,FALSE
0,-6,39,FALSE
0,-10,29,FALSE
0,-11,26,FALSE
0,-41,42,FALSE
0,0,20,FALSE
0,-24,21,FALSE
6,43,10,FALSE
22,9,71,FALSE
0,-62,669,FALSE
7,45,7,FALSE
0,-45,54,FALSE
0,-62,1279,FALSE
0,-44,1279,FALSE
0,-6,43,FALSE
2,8,18,FALSE
14,18,7,FALSE
0,-44,680,FALSE
0,-38,92,FALSE
0,-6,98,FALSE
2,9,7,FALSE
0,-39,346,FALSE
0,27,7,FALSE
0,-21,35,FALSE
0,-20,149,FALSE
0,-4,47,FALSE
0,-16,50,FALSE
16,26,15,FALSE
18,9,7,FALSE
14,25,20,FALSE
0,-5,44,FALSE
19,18,13,FALSE
0,0,28,FALSE
0,-62,649,FALSE
0,-63,23,FALSE
0,-11,83,FALSE
7,45,7,FALSE
7,45,7,FALSE
0,-6,89,FALSE
7,45,7,FALSE
0,-62,1279,FALSE
0,-6,20,FALSE
0,27,11,FALSE
0,0,20,FALSE
0,-24,16,FALSE
0,-44,1279,FALSE
0,-11,57,FALSE
18,9,7,FALSE
33,10,51,FALSE
0,-6,39,FALSE
6,25,25,FALSE
21,12,30,FALSE
0,-28,53,FALSE
1,44,67,FALSE
0,-62,1279,FALSE
0,27,7,FALSE
0,0,29,FALSE
0,-25,35,FALSE
0,-2,12,FALSE
0,-44,669,FALSE
0,-7,48,FALSE
0,-39,17,FALSE
0,0,35,FALSE
9,27,12,FALSE
0,-7,35,FALSE
0,-62,650,FALSE
0,-62,689,FALSE
0,-24,28,FALSE
0,-10,29,FALSE
0,-41,35,FALSE
0,-45,54,FALSE
0,-23,2,FALSE
31,27,59,FALSE
0,-45,23,FALSE
0,-25,35,FALSE
2,8,18,FALSE
0,-28,36,FALSE
0,-6,14,FALSE
0,-5,23,FALSE
7,45,26,FALSE
5,8,31,FALSE
0,-39,95,FALSE
0,-62,689,FALSE
0,0,29,FALSE
0,27,21,FALSE
0,-44,1279,FALSE
0,-44,693,FALSE
2,9,7,FALSE
0,-25,25,FALSE
0,-25,101,FALSE
0,-4,19,FALSE
0,-11,94,FALSE
13,8,16,FALSE
0,-24,28,FALSE
0,-45,44,FALSE
4,9,16,FALSE
0,-39,53,FALSE
0,-6,93,FALSE
0,-53,82,FALSE
0,-24,21,FALSE
0,-10,99,FALSE
0,-5,17,FALSE
0,-62,1279,FALSE
0,-7,22,FALSE
0,-44,680,FALSE
0,-41,7,FALSE
0,0,12,FALSE
0,-39,20,FALSE
0,-24,29,FALSE
0,-11,83,FALSE
0,-21,3,FALSE
10,13,16,FALSE
52,45,79,FALSE
0,-39,35,FALSE
0,-62,680,FALSE
0,-45,44,FALSE
0,-44,1279,FALSE
0,-62,1279,FALSE
0,-21,346,FALSE
0,-44,1279,FALSE
0,-4,47,FALSE
0,-39,14,FALSE
0,-62,650,FALSE
0,-25,21,FALSE
0,-25,40,FALSE
0,-39,140,FALSE
0,-5,44,FALSE
0,-26,56,FALSE
0,-23,2,FALSE
0,-62,1279,FALSE
0,-26,56,FALSE
0,-44,1279,FALSE
0,-3,53,FALSE
0,-63,23,FALSE
0,-24,14,FALSE
0,-28,29,FALSE
0,-20,21,FALSE
5,9,11,FALSE
0,-24,21,FALSE
0,-16,50,FALSE
39,18,9,FALSE
0,-44,1279,FALSE
0,-44,669,FALSE
0,-3,36,FALSE
0,-10,55,FALSE
2,27,16,FALSE
0,-4,53,FALSE
0,-41,38,FALSE
29,27,14,FALSE
4,9,23,FALSE
0,-16,50,FALSE
0,-41,35,FALSE
0,-24,21,FALSE
0,-38,21,FALSE
0,-63,35,FALSE
0,-71,9,FALSE
0,-6,14,FALSE
22,9,71,FALSE
0,-19,31,FALSE
0,-62,1279,FALSE
0,-1,51,FALSE
18,9,21,FALSE
8,18,13,FALSE
17,8,61,FALSE
0,-10,52,FALSE
0,-45,23,FALSE
0,-39,346,FALSE
0,-39,346,FALSE
0,-7,25,FALSE
10,9,19,FALSE
0,-39,100,FALSE
0,-10,99,FALSE
0,-17,5,FALSE
0,-63,35,FALSE
0,-23,42,FALSE
0,-44,1279,FALSE
5,9,11,FALSE
15,44,9,FALSE
0,-62,1279,FALSE
0,-71,9,FALSE
0,-62,1279,FALSE
0,-44,669,FALSE
14,25,20,FALSE
2,8,18,FALSE
0,-62,1279,FALSE
0,-41,2,FALSE
0,-25,40,FALSE
0,-10,29,FALSE
0,-6,16,FALSE
18,9,11,FALSE
0,-62,652,FALSE
0,0,20,FALSE
10,13,16,FALSE
0,-44,669,FALSE
0,-21,35,FALSE
0,-23,37,FALSE
0,-24,39,FALSE
7,45,7,FALSE
0,-4,53,FALSE
0,-39,3,FALSE
0,-40,11,FALSE
0,-41,2,FALSE
1,8,9,FALSE
0,-39,140,FALSE
0,-6,39,FALSE
0,-41,38,FALSE
0,0,116,FALSE
0,0,28,FALSE
0,-35,10,FALSE
0,-11,65,FALSE
39,18,9,FALSE
0,-24,21,FALSE
0,-44,1279,FALSE
31,27,59,FALSE
0,-25,48,FALSE
0,-26,56,FALSE
0,-44,1279,FALSE
0,-89,9,FALSE
9,26,17,FALSE
0,-11,35,FALSE
23,45,91,FALSE
0,-39,3,FALSE
12,9,23,FALSE
0,-5,149,FALSE
0,-24,14,FALSE
0,-20,21,FALSE
0,-6,43,FALSE
0,0,44,FALSE
0,-39,35,FALSE
0,-62,1279,FALSE
0,-63,44,FALSE
0,-7,19,FALSE
0,-44,652,FALSE
0,-62,1279,FALSE
0,-63,41,FALSE
39,18,9,FALSE
4,9,23,FALSE
32,44,18,FALSE
0,-62,1279,FALSE
0,-44,1279,FALSE
0,-24,39,FALSE
0,26,58,FALSE
0,-44,1279,FALSE
0,-29,83,FALSE
0,-44,1279,FALSE
22,9,71,FALSE
0,-25,61,FALSE
