@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z25.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z38.571425-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,2,0,1,1,2,4,0,1,3,FALSE
11,38,11,8,10,0.683333,287,3,0.287879,24.545455,FALSE
4,13,1,4,1,2,56,0,1,27,FALSE
9,55,162,5,18,0.71,361,1,0.19375,15.952381,FALSE
1,9,10,0,3,0.75,81,0,0.44,15,FALSE
18,23,0,16,16,0,110,0,0.114583,5.055556,FALSE
10,31,18,10,4,0.809524,149,1,0.357143,17.25,FALSE
28,11,4,2,5,0.25,54,0,0.533333,9.6,FALSE
11,36,0,11,10,0.694444,236,1,0.45,22.2,FALSE
6,4,6,4,4,2,4,0,0.625,0,FALSE
6,26,0,5,5,0.571429,172,0,0.375,20.125,FALSE
3,38,84,2,16,0.674074,541,2,0.25,32.25,FALSE
2,13,1,1,3,1.441176,76,1,0.5,18.666667,FALSE
6,26,0,5,5,0.571429,164,0,0.375,19.125,FALSE
8,37,60,8,7,0.833333,331,0,0.416667,24.076923,FALSE
1,2,0,1,1,2,4,0,1,3,FALSE
3,17,0,1,3,0.25,196,0,0.666667,63,FALSE
14,23,68,2,12,0.697917,357,0,0.708333,25.846154,FALSE
9,32,0,9,6,0.6,216,2,0.333333,34.5,FALSE
20,106,1313,12,9,0.956553,1133,2,0.195455,19.127273,FALSE
3,4,1,3,1,2,11,0,0.666667,4.5,FALSE
8,45,6,8,4,0.75,261,0,0.6,50.8,FALSE
10,49,115,9,14,0.836601,397,3,0.333333,20.555556,FALSE
8,20,46,2,8,0.666667,111,0,0.615385,7.230769,FALSE
9,29,0,9,9,0.583333,168,1,0.444444,17.333333,FALSE
11,28,0,9,7,0.25,122,0,0.285714,16.142857,FALSE
16,21,23,2,5,0.666667,149,1,0.228571,13.7,FALSE
1,15,6,1,1,1.333333,49,0,1,11,FALSE
6,6,1,1,3,0.5,25,0,0.833333,7,FALSE
3,37,41,2,14,0.696429,437,1,0.311111,27.333333,FALSE
2,11,3,1,4,0.6,53,0,0.666667,7.5,FALSE
7,71,14,5,16,0.866071,569,1,0.163399,31.647059,FALSE
7,35,4,7,7,0.714286,265,0,0.46875,31.375,FALSE
78,23,119,5,16,0.873016,125,4,0.218045,5.210526,FALSE
2,6,0,2,4,0.333333,19,0,0.625,3.5,FALSE
3,22,44,2,5,0.805195,156,1,0.261905,11.416667,FALSE
6,36,58,5,13,0.633333,363,0,0.242188,21.3125,FALSE
10,33,35,10,6,0.851852,165,1,0.351852,15.2,FALSE
7,17,0,7,5,0.5,75,0,0.8,13.4,FALSE
2,35,38,0,17,0.631818,617,0,0.293651,27.857143,FALSE
2,39,10,2,8,0.714286,265,0,0.325,31.625,FALSE
1,0,0,0,0,2,7,0,0,0,FALSE
15,36,3,9,10,0.583333,249,2,0.266667,23.5,FALSE
9,29,0,8,5,0.571429,179,0,0.375,21,FALSE
5,15,0,2,4,0.333333,83,0,0.4375,19.5,FALSE
5,19,1,5,2,0.5,89,0,0.5,28.333333,FALSE
3,18,0,1,3,0.25,204,0,0.666667,65.666667,FALSE
4,42,130,4,18,0.736842,376,1,0.284211,17.45,FALSE
39,96,0,28,40,0,328,1,0.073413,6.785714,FALSE
32,36,36,0,7,1.104167,281,0,0.25,29.555556,FALSE
4,4,6,1,4,2,4,0,0.5,0,FALSE
9,9,3,4,2,2,23,0,0.666667,6.666667,FALSE
4,6,0,3,3,0,30,0,0.666667,8.666667,FALSE
5,41,10,5,8,0.809524,236,0,0.875,27.75,TRUE
10,39,0,10,6,0.628571,330,1,0.325,39.625,TRUE
16,72,165,16,16,0.904762,675,1,0.227273,29.045455,TRUE
35,213,2518,35,74,0.94,2199,10,0.1375,25.777778,TRUE
8,22,3,7,2,1,152,0,0.5,48.666667,TRUE
13,97,116,13,16,0.868421,895,0,0.19,42.85,TRUE
8,28,0,8,6,0.678571,128,1,0.5,14.5,TRUE
16,7,21,1,7,2,7,0,1,0,TRUE
7,82,65,7,1,0.816568,1253,0,0.169643,87.571429,TRUE
10,47,241,3,26,0.916364,279,3,0.153846,9.307692,TRUE
22,151,498,22,38,0.860884,1000,4,0.122222,19.5625,TRUE
30,96,87,23,10,0.884615,905,2,0.192308,63.5,TRUE
10,92,39,10,29,0.723485,710,2,0.148485,19.647059,TRUE
2,42,0,1,12,0.386364,236,0,0.444444,18.333333,TRUE
8,34,0,8,6,0.6,493,0,0.555556,80.5,TRUE
8,49,33,8,9,0.428571,463,1,0.25,29.8,TRUE
6,4,6,4,4,2,4,0,0.625,0,TRUE
1,0,0,0,0,2,24,0,0,0,TRUE
19,80,249,15,18,0.869231,607,2,0.166667,20.925926,TRUE
19,73,112,7,5,0.84375,502,1,0.170455,28.176471,TRUE
7,34,0,7,8,0.75,298,0,0.592593,31.666667,TRUE
13,18,0,7,4,0.222222,137,2,0.5,32.5,TRUE
9,1,0,1,1,2,1,0,1,0,TRUE
9,56,225,8,20,0.872727,537,2,0.24,19.230769,TRUE
19,66,112,8,19,0.8,502,1,0.180952,22.380952,TRUE
6,14,1,5,2,2,45,0,1,21.5,TRUE
20,103,209,20,25,0.82,673,2,0.16129,20.387097,TRUE
9,34,47,5,12,0.824176,279,0,0.307692,18.428571,TRUE
5,12,0,5,4,0.333333,48,0,0.75,10.75,TRUE
8,101,157,3,15,0.824786,1286,1,0.183761,45.62963,TRUE
7,39,0,6,7,0.712963,424,0,0.292308,30.923077,TRUE
4,15,0,3,4,0.333333,109,0,0.5,25.75,TRUE
18,89,219,18,18,0.896842,881,4,0.221154,32.153846,TRUE
12,82,83,12,11,0.960152,1238,1,0.181818,66.055556,TRUE
4,41,14,4,8,0.791667,334,0,0.355556,35.444444,TRUE
4,40,130,4,18,0.736842,345,1,0.284211,15.9,TRUE
15,54,59,15,15,0.880952,398,1,0.373333,24.733333,TRUE
3,14,1,2,3,0.5,97,0,0.666667,31,TRUE
7,57,19,7,9,0.833333,518,0,0.34,50,TRUE
12,69,39,12,12,0.93254,614,1,0.342857,38.733333,TRUE
3,7,2,2,4,0.666667,34,0,0.75,7,TRUE
25,138,421,22,17,0.863636,1740,0,0.142045,49.647059,TRUE
9,92,129,9,16,0.849817,837,3,0.309091,36.454545,TRUE
3,50,74,2,18,0.6,721,2,0.28125,34.8,TRUE
7,15,3,6,1,2,112,0,0.444444,36.333333,TRUE
