@relation ivyA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z39.31623932-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,1,2,1,0,1,FALSE
2,11,1,32,0,0.583333,FALSE
25,85,0,568,0.272727,0.313725,FALSE
5,9,4,29,0,0.5,FALSE
10,21,5,130,0,0.3125,FALSE
26,8,3,8,0,1,FALSE
9,40,7,286,0.606061,0.5,FALSE
3,19,2,67,0,0.318182,FALSE
6,18,0,65,0,0.407407,FALSE
12,79,11,785,0.660714,0.227778,FALSE
2,8,0,20,1,0.666667,FALSE
15,86,15,660,0.663043,0.35,FALSE
5,6,1,20,0,0.5,FALSE
52,8,3,8,0,1,FALSE
10,48,9,489,0,0.314286,FALSE
27,19,2,138,0,0.233333,FALSE
3,7,0,17,0.98895,1,FALSE
4,2,0,2,0,0.666667,FALSE
10,47,9,258,0,0.416667,FALSE
2,16,2,88,0,0.433333,FALSE
15,108,0,896,0.59292,0.221884,FALSE
24,2,1,7,0,0.75,FALSE
8,29,3,188,0,0.235714,FALSE
12,10,0,35,0,0.25,FALSE
37,20,6,20,0,0.3625,FALSE
9,12,3,40,0,0.428571,FALSE
13,34,11,152,0.977011,1,FALSE
22,72,9,469,0,0.166667,FALSE
6,25,2,167,0,0.256579,FALSE
3,4,2,10,0.833333,0.666667,FALSE
3,5,2,15,1,1,FALSE
9,51,3,297,0,0.346154,FALSE
8,8,5,8,0,0.458333,FALSE
3,24,3,222,0,0.316667,FALSE
3,11,2,48,0.727273,0.666667,FALSE
6,25,0,1207,0,0.291667,FALSE
4,44,2,208,0,0.5625,FALSE
72,47,0,382,0,0.1375,FALSE
8,7,3,28,0,0.444444,FALSE
4,30,2,183,0,0.5,FALSE
12,21,3,75,0,0.4,FALSE
7,27,0,85,0.944134,0.345455,FALSE
5,9,4,29,0,0.5,FALSE
11,39,0,217,0.735849,0.222222,FALSE
8,31,8,108,0.956044,0.466667,FALSE
3,6,0,15,0.777778,0.833333,FALSE
6,26,5,125,0,0.3,TRUE
10,46,2,431,0,0.219048,TRUE
8,5,5,15,0,0.625,TRUE
32,104,29,955,0,0.3125,TRUE
37,153,37,1515,0.307692,0.122333,TRUE
5,18,0,125,0.538462,0.464286,TRUE
32,82,7,926,0,0.226337,TRUE
13,6,3,6,0,1,TRUE
16,65,0,877,0,0.416667,TRUE
3,17,0,136,0,0.375,TRUE
13,94,0,1203,0.73913,0.357143,TRUE
7,21,4,108,0,0.5625,TRUE
6,33,4,229,0,0.48,TRUE
3,8,1,34,0,0.6,TRUE
19,39,13,178,0.3,0.328125,TRUE
8,51,8,255,0.777778,0.366667,TRUE
12,4,3,4,0,0.5,TRUE
11,78,10,564,0.642105,0.371429,TRUE
18,52,18,489,0,0.25,TRUE
12,52,12,288,0.753846,0.470588,TRUE
10,4,1,4,0,0.55,TRUE
8,43,8,226,0.765625,0.359375,TRUE
30,173,21,2020,0,0.122201,TRUE
8,10,2,10,0,0.5,TRUE
31,147,30,1429,0.347826,0.121442,TRUE
19,81,17,681,0,0.285714,TRUE
13,13,2,47,0,0.333333,TRUE
4,19,3,82,0,0.31746,TRUE
5,3,0,3,0,0.666667,TRUE
10,60,0,936,0,0.285714,TRUE
14,44,7,255,0,0.177273,TRUE
5,79,0,948,0,0.292857,TRUE
72,318,48,3982,0,0.087369,TRUE
8,42,7,329,0,0.263158,TRUE
26,120,26,1123,0.825243,0.12012,TRUE
5,5,3,9,0,0.666667,TRUE
7,31,6,166,0.64,0.363636,TRUE
16,31,12,146,0,0.183824,TRUE
3,17,2,74,0,0.5,TRUE
6,63,6,435,0.809524,0.4,TRUE
5,22,3,138,0,0.5,TRUE
29,96,0,669,0.861789,0.205882,TRUE
13,86,10,593,0,0.12406,TRUE
16,103,0,824,0.663366,0.314286,TRUE
32,87,15,691,0.606557,0.285,TRUE
6,1,1,1,0,1,TRUE
