@relation ivyA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z39.31623932-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
10,50,10,267,0.428571,0.323077,FALSE
16,29,3,149,0,0.193878,FALSE
2,6,1,20,0,0.5,FALSE
38,7,0,7,0,0.571429,FALSE
7,27,0,85,0.944134,0.345455,FALSE
16,74,12,610,0,0.147826,FALSE
9,21,5,141,0,0.3125,FALSE
10,4,1,20,0,0.555556,FALSE
26,111,23,957,0,0.3,FALSE
2,6,0,21,0,0.5,FALSE
10,41,10,214,0.5,0.4,FALSE
13,34,11,152,0.977011,1,FALSE
4,18,3,98,0.714286,0.466667,FALSE
14,103,14,642,0.592233,0.372093,FALSE
12,29,5,126,0,0.416667,FALSE
14,60,10,515,0,0.166667,FALSE
2,8,0,21,1,0.666667,FALSE
16,16,4,77,0,0.26,FALSE
37,20,6,20,0,0.3625,FALSE
2,17,2,103,0,0.466667,FALSE
2,8,2,24,0,0.5,FALSE
2,22,0,97,0,0.4,FALSE
9,37,9,190,0.953125,0.625,FALSE
26,8,3,8,0,1,FALSE
10,58,4,257,0,0.32,FALSE
4,3,4,17,0.928571,0.6,FALSE
4,16,1,130,0,0.45,FALSE
7,12,2,74,0.285714,0.290909,FALSE
4,11,0,28,0.968504,0.6,FALSE
16,43,14,143,0,0.181818,FALSE
6,10,5,27,0.714286,0.5,FALSE
29,103,29,1168,0,0.285714,FALSE
1,7,0,34,0,0.555556,FALSE
27,123,23,1851,0,0.204545,FALSE
11,51,8,349,0,0.383333,FALSE
8,7,3,28,0,0.444444,FALSE
47,260,33,3559,0,0.098039,FALSE
7,29,5,171,0.388889,0.25,FALSE
17,61,0,380,0.92029,0.207692,FALSE
4,19,3,57,0.714286,0.5,FALSE
10,27,0,198,0,0.71875,FALSE
72,47,0,382,0,0.1375,FALSE
10,74,9,608,0.889474,0.233766,FALSE
9,51,3,297,0,0.346154,FALSE
4,11,1,60,0,0.481481,FALSE
5,6,1,20,0,0.5,FALSE
4,19,3,82,0,0.31746,TRUE
37,153,37,1515,0.307692,0.122333,TRUE
29,96,0,669,0.861789,0.205882,TRUE
30,20,7,21,0,0.225,TRUE
12,52,12,288,0.753846,0.470588,TRUE
12,32,4,152,0,0.309524,TRUE
19,39,13,178,0.3,0.328125,TRUE
31,147,30,1429,0.347826,0.121442,TRUE
12,55,12,320,0.592593,0.212963,TRUE
10,60,0,936,0,0.285714,TRUE
6,37,4,172,0,0.666667,TRUE
21,114,19,1472,0.472222,0.238889,TRUE
6,33,0,179,0,0.444444,TRUE
6,33,4,229,0,0.48,TRUE
7,31,6,166,0.64,0.363636,TRUE
5,79,0,948,0,0.292857,TRUE
26,120,26,1123,0.825243,0.12012,TRUE
12,51,10,451,0.717647,0.35,TRUE
8,39,7,193,0.695652,0.375,TRUE
5,22,3,138,0,0.5,TRUE
154,583,98,8095,0,0.068627,TRUE
3,8,1,34,0,0.6,TRUE
17,57,15,346,0.85,0.192308,TRUE
13,86,10,593,0,0.12406,TRUE
6,1,1,1,0,1,TRUE
14,44,7,255,0,0.177273,TRUE
13,6,3,6,0,1,TRUE
19,81,17,681,0,0.285714,TRUE
14,4,0,4,0,1,TRUE
5,3,0,3,0,0.666667,TRUE
8,6,2,6,0,1,TRUE
7,52,5,420,0,0.25,TRUE
15,68,14,472,0.676471,0.180124,TRUE
32,82,7,926,0,0.226337,TRUE
20,12,9,12,0,0.2,TRUE
6,14,1,105,0,0.311111,TRUE
32,87,15,691,0.606557,0.285,TRUE
12,4,3,4,0,0.5,TRUE
10,44,7,305,0.833333,0.6,TRUE
30,173,21,2020,0,0.122201,TRUE
14,58,13,478,0,0.307692,TRUE
6,26,5,125,0,0.3,TRUE
13,13,2,47,0,0.333333,TRUE
6,39,3,193,0,0.35,TRUE
8,42,7,329,0,0.263158,TRUE
8,10,2,10,0,0.5,TRUE
