@relation camelA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
5,0,3,0,1,2,21,0,1,FALSE
1,0,24,247,11,23,127,0,1,FALSE
1,0,2,9,2,7,47,0,1,FALSE
3,0,6,0,1,2,24,0,1,FALSE
1,0,2,237,0,22,230,0,2,FALSE
5,0,2,0,1,2,22,0,1,FALSE
1,0,1,208,0,20,215,0,5,FALSE
3,1,6,3,2,5,33,1,1,FALSE
2,0,10,165,6,15,105,3,1,FALSE
3,0,8,1,4,5,45,1,1,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,0,5,1,1,5,163,0,15,FALSE
3,0,17,250,12,19,238,0,3,FALSE
2,0,15,237,8,19,174,2,1,FALSE
3,0,6,0,1,2,24,0,1,FALSE
3,0,4,3,1,2,23,2,1,FALSE
1,0,22,3486,4,83,1002,0,29,FALSE
1,0,3,30,1,8,79,0,1,FALSE
1,0,11,1,11,2,2,0,1,FALSE
2,2,7,7,2,5,49,0,2,FALSE
1,0,1,1,1,2,2,0,1,FALSE
3,0,12,0,1,5,107,1,2,FALSE
1,0,14,19,6,6,63,0,2,FALSE
4,0,3,3,0,3,12,2,1,FALSE
0,0,20,7,2,3,323,0,4,FALSE
1,0,13,39,5,11,101,0,1,FALSE
1,1,1,0,1,4,27,0,1,FALSE
2,0,12,18,2,6,56,1,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,13,128,5,14,425,5,4,FALSE
2,0,4,3,1,1,77,1,1,FALSE
0,0,2,1,1,2,7,0,1,FALSE
1,3,13,41,11,10,93,0,1,FALSE
1,0,3,12,2,7,100,0,4,FALSE
2,0,4,4,3,2,56,1,1,FALSE
0,0,7,1,1,2,48,0,1,FALSE
4,0,17,72,7,16,150,1,1,FALSE
0,0,6,41,0,11,99,0,5,FALSE
1,0,21,225,11,22,114,0,1,FALSE
1,7,11,24,7,5,125,0,2,FALSE
1,0,3,0,3,1,1,0,1,FALSE
3,0,13,0,1,5,115,0,2,FALSE
3,0,4,1,0,1,9,1,1,FALSE
4,0,5,0,5,2,20,0,1,FALSE
0,0,10,4,1,3,81,0,6,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,17,29,79,20,13,188,1,5,FALSE
5,0,4,0,1,3,37,0,1,FALSE
4,0,9,39,3,10,68,1,1,FALSE
3,2,7,6,2,0,61,0,5,FALSE
3,0,6,0,0,3,27,0,1,FALSE
2,0,4,1,2,2,31,0,1,FALSE
0,1,14,60,2,3,341,0,5,FALSE
5,0,4,0,2,2,25,0,1,FALSE
1,0,262,0,261,1,1,0,1,FALSE
3,0,5,0,2,1,30,1,2,FALSE
1,0,22,247,11,23,118,0,1,FALSE
2,2,12,5,5,4,89,0,2,FALSE
1,0,2,4,0,4,25,0,1,FALSE
1,0,1,1,1,2,37,0,3,FALSE
1,0,6,4,1,4,23,0,1,FALSE
1,0,4,3,1,3,20,0,1,FALSE
1,0,6,1,0,2,23,0,1,FALSE
3,0,6,0,4,4,52,0,2,FALSE
1,0,0,0,0,1,4,0,0,FALSE
1,0,2,3,1,0,63,0,1,FALSE
1,0,1,9,1,7,47,0,1,FALSE
4,0,8,4,1,2,63,4,1,FALSE
2,0,18,101,5,13,118,1,2,FALSE
1,0,20,178,9,13,587,0,9,FALSE
1,2,9,9,4,10,86,0,3,FALSE
1,0,5,1,1,5,145,0,10,FALSE
2,0,8,7,2,6,62,0,2,FALSE
3,0,5,7,2,5,46,0,2,FALSE
5,0,4,0,1,3,32,0,1,FALSE
2,0,7,2,3,3,112,0,1,FALSE
1,0,4,1,1,3,47,0,2,FALSE
1,0,12,0,11,1,1,0,1,FALSE
1,0,10,386,1,29,382,0,4,FALSE
0,0,9,21,1,1,137,0,9,FALSE
3,0,5,0,2,1,30,1,2,FALSE
3,0,11,44,1,8,124,1,3,FALSE
1,0,8,25,1,9,86,0,3,FALSE
3,0,4,3,0,2,24,2,1,FALSE
3,0,18,126,4,14,299,1,2,FALSE
1,0,3,1,2,2,2,0,1,FALSE
2,0,12,21,3,4,180,1,3,FALSE
1,0,5,33,3,14,210,0,3,FALSE
3,0,7,0,3,5,41,1,1,FALSE
1,0,12,3,10,3,3,0,1,FALSE
1,0,3,1,2,2,6,0,1,FALSE
5,0,4,0,2,3,32,0,1,FALSE
1,0,12,1,2,1,74,1,1,FALSE
1,15,42,279,32,21,326,0,3,FALSE
0,0,5,0,1,9,213,0,1,FALSE
1,0,5,1,4,2,2,0,1,FALSE
3,0,12,0,1,5,114,0,2,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,2,1,1,3,15,0,1,FALSE
1,0,3,12,2,7,100,0,4,FALSE
3,0,18,126,4,14,299,1,2,FALSE
3,0,13,8,1,2,66,0,1,FALSE
3,0,6,9,2,4,68,4,2,FALSE
1,0,3,1,3,2,17,0,2,FALSE
1,0,1,3,0,1,221,0,1,FALSE
6,0,2,0,1,2,25,0,1,FALSE
1,0,7,0,1,2,60,0,1,FALSE
0,2,9,10,2,1,145,0,4,FALSE
1,0,5,0,4,1,1,0,1,FALSE
1,0,4,0,2,1,1,0,1,FALSE
0,0,10,2,1,1,71,0,2,FALSE
2,0,2,4,1,4,24,2,1,FALSE
6,0,5,0,1,1,42,1,3,FALSE
3,0,21,15,1,2,176,2,1,FALSE
2,0,11,1,1,6,126,1,2,FALSE
1,0,4,0,1,3,27,0,1,FALSE
1,0,1,0,1,0,0,0,0,FALSE
1,0,6,3,2,2,23,0,1,FALSE
5,0,2,0,1,2,25,0,1,FALSE
2,0,11,2,1,3,61,2,1,FALSE
2,0,14,0,8,6,69,1,2,FALSE
1,0,16,43,1,1,248,4,10,FALSE
1,0,6,10,6,5,82,0,4,FALSE
1,1,7,112,2,12,151,0,4,FALSE
3,0,13,13,1,4,76,1,1,FALSE
3,2,8,4,2,3,52,0,2,FALSE
1,0,27,121,4,8,299,0,5,FALSE
3,0,3,3,1,2,16,1,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,1,10,23,3,3,107,0,1,FALSE
2,0,18,76,3,1,1000,1,10,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,0,24,7,1,5,342,0,13,FALSE
1,0,9,815,4,35,792,0,1,FALSE
1,0,0,0,0,0,0,0,0,FALSE
3,0,1,4,0,3,16,1,1,FALSE
2,1,2,9,1,7,40,0,2,FALSE
1,0,4,1,0,2,10,0,1,FALSE
0,2,16,36,2,2,217,0,2,FALSE
4,0,18,22,4,7,141,0,1,FALSE
4,2,3,0,3,1,7,0,0,FALSE
1,0,26,153,12,18,126,0,1,FALSE
2,0,6,17,4,7,46,0,1,FALSE
2,0,8,0,3,4,64,1,1,FALSE
1,0,5,251,5,25,241,0,6,FALSE
3,0,8,60,1,9,101,1,3,FALSE
3,0,7,0,2,2,27,0,1,FALSE
2,1,7,6,2,6,130,1,2,FALSE
4,0,9,17,1,3,218,4,3,FALSE
1,0,3,484,1,21,651,0,7,FALSE
4,0,7,0,4,1,30,1,2,FALSE
2,0,9,0,1,9,92,0,1,FALSE
3,0,12,0,2,1,99,1,1,FALSE
2,0,7,24,0,9,78,0,1,FALSE
0,0,10,1,1,2,66,0,1,FALSE
1,0,1,95,1,12,106,0,1,FALSE
2,0,2,9,1,6,45,0,2,FALSE
1,0,2,1,1,2,16,0,3,FALSE
1,0,19,4,1,3,274,0,1,FALSE
3,0,17,69,5,14,142,0,2,FALSE
1,0,3,0,1,3,29,0,1,FALSE
3,0,15,0,2,2,105,1,3,FALSE
0,0,14,4,2,2,88,0,2,FALSE
1,0,2,0,1,0,0,0,0,FALSE
2,0,1,0,0,1,7,0,0,FALSE
6,0,12,11,1,5,87,0,1,FALSE
1,0,18,15,15,6,159,0,1,FALSE
1,0,188,0,187,1,1,0,1,FALSE
3,0,3,3,1,1,25,2,1,FALSE
3,0,8,49,3,14,164,8,3,FALSE
1,0,8,13,1,6,54,0,2,FALSE
2,0,13,201,2,21,266,1,1,FALSE
4,0,11,19,3,5,94,0,1,FALSE
1,0,13,39,5,11,101,0,1,FALSE
3,0,27,1,1,3,357,0,3,FALSE
1,0,4,46,0,11,73,0,1,FALSE
3,0,2,0,1,1,5,0,0,FALSE
2,0,16,89,3,15,105,2,2,FALSE
4,0,12,0,1,3,216,1,1,FALSE
0,0,14,29,0,11,101,0,1,FALSE
1,0,3,188,0,20,168,0,2,FALSE
1,2,9,30,4,7,97,0,2,FALSE
1,0,4,1,2,6,50,0,2,FALSE
1,0,16,235,3,24,182,0,2,FALSE
2,0,5,0,1,4,80,1,3,FALSE
4,0,8,10,3,5,28,1,1,FALSE
2,0,7,0,2,4,64,1,1,FALSE
1,0,0,6,0,1,79,0,5,FALSE
3,0,14,0,1,2,129,1,5,FALSE
1,0,4,43,1,10,124,0,3,FALSE
3,14,19,4,15,3,53,3,3,FALSE
4,0,1,0,1,3,37,0,2,FALSE
2,0,13,73,10,14,129,1,4,FALSE
2,0,6,0,3,1,11,0,0,FALSE
1,0,0,0,0,0,9,0,0,FALSE
1,0,0,0,0,0,0,0,0,FALSE
3,0,8,21,2,4,66,0,2,FALSE
1,1,7,75,1,12,139,0,2,FALSE
2,0,4,4,3,2,56,1,1,FALSE
1,0,4,7,3,6,73,0,3,FALSE
2,0,3,0,1,3,45,1,1,FALSE
1,0,6,0,1,2,22,0,1,FALSE
4,0,6,15,0,5,45,0,1,FALSE
3,0,8,0,2,1,161,1,6,FALSE
1,0,3,0,1,4,152,0,2,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,7,137,3,21,230,6,4,FALSE
3,0,35,8,1,3,571,1,10,FALSE
2,0,10,4,9,2,89,1,1,FALSE
3,7,13,79,7,11,163,1,2,FALSE
1,0,1,6,1,4,4,0,1,FALSE
2,0,9,124,4,13,99,3,1,FALSE
1,0,3,1,1,1,88,0,5,FALSE
2,0,12,32,3,4,184,1,3,FALSE
1,0,3,1,1,1,14,0,1,FALSE
1,0,12,10,9,5,5,0,1,FALSE
3,0,3,1,1,1,12,1,1,FALSE
1,0,8,62,2,11,184,0,4,FALSE
1,0,11,21,4,3,167,0,3,FALSE
5,1,9,2,1,4,68,0,3,FALSE
1,0,13,1436,0,45,634,0,6,FALSE
2,0,1,0,0,1,7,0,0,FALSE
1,0,7,0,5,1,1,0,1,FALSE
3,0,17,1318,1,49,435,2,5,FALSE
1,6,8,6,6,3,37,0,2,FALSE
3,2,17,77,9,11,106,1,2,FALSE
1,0,0,2,0,5,29,0,1,FALSE
1,0,5,0,5,1,1,0,1,FALSE
2,2,6,0,2,4,38,1,1,FALSE
3,0,34,46,3,2,672,2,5,FALSE
2,0,11,1,1,6,126,1,2,FALSE
2,1,34,562,2,32,628,0,5,FALSE
5,0,4,0,1,3,34,0,1,FALSE
3,0,7,4,1,3,61,1,1,FALSE
1,0,4,24,0,5,125,0,2,FALSE
3,0,8,0,1,4,82,0,1,FALSE
1,0,8,6,5,3,62,0,3,FALSE
3,0,12,0,1,5,130,1,2,FALSE
0,0,16,52,4,4,120,0,2,FALSE
1,0,3,1,2,2,2,0,1,FALSE
1,0,14,1436,1,45,650,0,6,FALSE
1,0,7,35,2,7,380,0,5,FALSE
5,0,2,0,1,1,7,0,0,FALSE
6,0,2,0,1,2,25,0,1,FALSE
4,0,19,156,3,15,407,3,3,FALSE
3,0,3,6,0,8,82,2,3,FALSE
2,0,7,46,0,11,83,0,2,FALSE
2,0,15,31,3,7,97,1,1,FALSE
2,3,6,3,3,2,47,0,1,FALSE
1,0,4,26,0,7,83,0,2,FALSE
2,0,24,523,4,33,343,1,2,FALSE
1,0,5,33,0,5,235,0,4,FALSE
1,0,5,0,4,1,1,0,1,FALSE
1,0,4,15,0,5,29,0,1,FALSE
1,0,16,43,1,1,248,4,10,FALSE
1,0,4,1,2,6,50,0,2,FALSE
4,0,11,45,3,8,101,0,1,FALSE
1,0,21,49,2,8,355,0,5,FALSE
3,0,7,3,1,4,46,1,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,0,10,15,1,1,112,2,4,FALSE
2,0,4,3,1,1,308,1,1,FALSE
2,0,5,3,2,3,65,0,4,FALSE
5,0,2,3,1,3,16,0,0,FALSE
1,0,2,8,0,5,57,0,2,FALSE
2,0,18,475,6,28,600,1,2,FALSE
0,0,3,4,1,4,22,0,1,FALSE
1,0,4,0,1,6,46,0,1,FALSE
1,0,6,3,5,3,3,0,1,FALSE
3,0,6,8,1,4,36,1,1,FALSE
1,1,31,14,5,6,207,0,1,FALSE
1,0,6,1,6,2,2,0,1,FALSE
1,0,10,105,10,9,591,0,11,FALSE
1,0,0,0,0,0,0,0,0,FALSE
1,0,4,3,0,3,18,0,1,FALSE
3,0,4,3,1,2,23,2,1,FALSE
1,0,14,7,2,3,213,1,1,FALSE
2,0,12,0,1,3,304,1,2,FALSE
3,0,8,19,0,7,118,0,4,FALSE
1,0,0,0,0,0,0,0,0,FALSE
3,0,6,4,1,3,27,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
2,0,6,56,2,7,145,2,2,FALSE
4,0,3,1,0,1,12,1,1,FALSE
1,0,17,0,17,1,1,0,1,FALSE
4,0,8,3,0,1,50,2,1,FALSE
3,0,4,10,1,3,31,1,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,5,0,4,1,1,0,1,FALSE
1,0,2,15,0,5,44,0,1,FALSE
1,0,7,6,1,4,39,0,1,FALSE
1,2,9,9,4,10,86,0,3,FALSE
1,0,5,1,5,2,2,0,1,FALSE
2,16,26,37,18,7,115,1,2,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,2,190,1,20,50,0,1,FALSE
2,0,5,7,1,2,59,1,2,FALSE
1,0,6,1,6,2,2,0,1,FALSE
3,1,4,1,2,1,11,1,1,FALSE
0,0,3,1,0,2,12,0,1,FALSE
1,0,4,3,3,6,41,0,1,FALSE
1,0,4,105,4,13,518,0,5,FALSE
2,0,7,1,0,2,48,1,4,FALSE
3,0,4,3,1,2,17,1,1,FALSE
1,1,14,45,4,12,169,0,3,FALSE
2,0,14,0,9,5,41,1,1,FALSE
3,0,7,15,1,2,137,0,2,FALSE
1,0,4,1,2,2,8,0,1,FALSE
2,17,22,1,17,5,33,1,1,FALSE
1,0,5,0,0,2,30,0,1,FALSE
1,0,4,39,0,13,231,0,1,FALSE
1,0,5,0,0,2,30,0,1,FALSE
1,0,10,0,2,2,49,0,1,FALSE
3,0,9,38,1,8,260,3,3,FALSE
1,0,6,0,4,1,1,0,1,FALSE
0,0,12,0,2,2,87,0,1,FALSE
3,0,6,10,1,3,68,0,2,FALSE
3,0,6,35,1,13,132,8,2,FALSE
3,0,5,4,0,3,29,1,1,FALSE
3,0,29,245,16,24,348,6,3,FALSE
3,0,8,15,2,6,42,3,1,TRUE
3,0,3,6,0,8,82,2,3,TRUE
3,0,20,151,5,15,401,1,10,TRUE
4,0,7,13,1,10,82,1,2,TRUE
2,0,4,0,1,5,68,5,3,TRUE
2,0,23,943,9,38,1056,0,6,TRUE
4,0,12,52,4,12,115,3,2,TRUE
2,2,10,0,5,2,86,0,2,TRUE
1,0,12,349,9,24,292,0,1,TRUE
1,2,4,0,2,4,28,0,1,TRUE
4,0,7,13,1,10,82,1,2,TRUE
1,0,18,0,18,1,1,0,1,TRUE
1,0,5,0,4,1,1,0,1,TRUE
2,0,40,32,39,7,240,1,4,TRUE
2,0,2,0,2,6,52,0,1,TRUE
1,0,2,189,1,22,182,0,7,TRUE
1,0,84,136,80,17,17,0,1,TRUE
2,0,10,0,1,9,92,0,1,TRUE
2,0,13,201,2,21,266,1,1,TRUE
1,0,3,3,1,3,14,0,1,TRUE
1,0,4,1,1,2,9,0,1,TRUE
1,0,6,76,3,11,180,0,1,TRUE
1,0,7,28,2,7,507,0,6,TRUE
5,0,1,0,0,3,47,0,2,TRUE
4,0,8,27,1,10,87,3,2,TRUE
1,0,7,28,0,4,237,0,11,TRUE
3,0,3,1,0,2,11,0,0,TRUE
2,0,6,4,1,3,50,0,1,TRUE
2,13,20,181,15,17,196,2,3,TRUE
2,1,22,400,2,25,718,1,3,TRUE
2,0,4,3,1,2,32,0,1,TRUE
2,0,5,16,2,8,96,0,3,TRUE
3,0,8,18,1,9,84,2,2,TRUE
1,0,1,1,1,1,37,0,3,TRUE
2,0,7,0,1,5,153,1,4,TRUE
4,6,8,0,6,2,23,0,1,TRUE
3,0,12,6,3,5,111,0,4,TRUE
1,0,3,1,1,2,54,0,6,TRUE
3,0,21,598,8,34,335,1,6,TRUE
1,0,8,1,6,2,2,0,1,TRUE
1,11,23,687,13,31,405,0,4,TRUE
2,0,1,3,0,3,12,2,1,TRUE
1,0,5,0,1,3,54,0,2,TRUE
1,3,12,21,3,6,151,0,1,TRUE
2,0,15,5,2,3,88,1,1,TRUE
1,0,4,9,0,5,41,0,2,TRUE
1,0,17,105,2,15,123,0,1,TRUE
1,0,31,100,5,7,741,0,10,TRUE
3,0,5,62,1,11,79,2,2,TRUE
1,2,10,39,4,8,108,0,2,TRUE
1,0,4,10,4,5,5,0,1,TRUE
2,0,1,0,1,7,83,0,1,TRUE
4,0,8,51,1,11,96,3,1,TRUE
1,0,10,1,1,2,157,0,6,TRUE
3,0,8,1,2,2,31,0,2,TRUE
3,0,9,4,0,1,62,1,4,TRUE
1,0,10,379,8,29,328,0,8,TRUE
1,0,19,30,1,7,479,0,17,TRUE
1,0,5,20,1,7,94,0,4,TRUE
1,0,12,230,0,22,318,0,3,TRUE
2,0,9,92,3,17,141,4,3,TRUE
1,0,17,864,8,38,523,0,4,TRUE
1,0,5,132,1,18,341,0,30,TRUE
1,25,26,8,25,6,94,0,1,TRUE
1,0,28,0,28,1,1,0,1,TRUE
5,0,3,0,1,3,33,0,1,TRUE
4,15,49,6,49,4,21,0,0,TRUE
1,0,2,3,2,2,91,0,7,TRUE
3,0,6,61,1,14,168,2,2,TRUE
1,0,9,43,1,9,103,0,4,TRUE
3,0,10,8,2,4,61,1,3,TRUE
2,1,7,0,1,7,66,1,1,TRUE
1,20,41,327,29,20,278,1,5,TRUE
1,0,3,2,1,1,226,0,6,TRUE
1,0,7,0,2,4,31,0,1,TRUE
2,2,12,83,2,12,297,1,2,TRUE
3,0,5,14,1,7,118,2,3,TRUE
1,0,3,0,1,2,12,0,1,TRUE
3,0,4,3,1,2,29,2,1,TRUE
1,0,11,230,0,22,316,0,3,TRUE
1,0,1,36,1,9,81,0,1,TRUE
3,0,8,37,1,10,212,14,6,TRUE
4,0,2,0,1,1,5,0,0,TRUE
3,0,8,6,4,3,28,3,1,TRUE
5,0,8,0,7,2,21,0,1,TRUE
1,0,0,1,0,2,2,0,1,TRUE
3,0,6,0,1,4,50,6,2,TRUE
2,3,17,55,7,15,168,3,2,TRUE
1,0,4,1,2,2,2,0,1,TRUE
3,2,5,3,3,2,17,1,1,TRUE
2,1,20,999,7,39,529,1,7,TRUE
5,0,8,0,7,2,21,0,1,TRUE
3,0,9,26,1,9,214,1,8,TRUE
1,0,4,0,2,1,1,0,1,TRUE
1,0,1,3,1,3,22,0,1,TRUE
1,0,3,0,3,0,0,0,0,TRUE
