@relation synapseA-weka.filters.supervised.instance.Resample-B1.0-S1-Z155.924171

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,7,0,3,1,1.6667,FALSE
8,4,6,2,0,1,FALSE
10,21,13,10,0.333333,1.1667,FALSE
8,18,4,6,0.666667,1.5,FALSE
6,7,0,3,1,1.6667,FALSE
11,27,1,9,1,3.6667,FALSE
16,50,105,12,0.888889,1.4737,FALSE
7,14,0,5,0,3,FALSE
0,2,0,0,0,0,FALSE
12,30,13,12,0.333333,2.1667,FALSE
7,4,1,2,0,0.5,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
7,4,6,1,0,1,FALSE
5,9,4,5,1,0.5,FALSE
14,30,1,12,0,12.5,FALSE
10,16,3,10,0,1.6667,FALSE
14,35,13,14,0.333333,1.5,FALSE
14,35,13,14,0.333333,1.5,FALSE
13,60,34,9,0.375,2.4375,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
13,35,7,13,0.857143,1.8571,FALSE
12,28,3,12,0,3,FALSE
24,18,10,7,1,1.4,FALSE
10,29,2,10,1,5,FALSE
11,27,13,11,0.333333,2,FALSE
13,60,12,10,0,5.125,FALSE
7,2,1,2,0,1,FALSE
10,30,2,10,1,4.25,FALSE
17,88,56,15,0.909091,2.125,FALSE
11,48,7,9,0.666667,1.8,FALSE
4,2,1,2,0,1,FALSE
21,64,0,21,1,1.625,FALSE
23,54,76,13,0.888889,2.2353,FALSE
4,2,1,2,0,1,FALSE
13,31,4,9,0.5,3,FALSE
9,22,3,9,0,3.3333,FALSE
9,13,6,9,0,0.75,FALSE
18,70,143,17,0,2.2174,FALSE
13,60,65,10,0.454545,1.8889,FALSE
7,15,3,7,0,1.3333,FALSE
7,26,5,6,0.25,1.3333,FALSE
11,48,7,9,0.666667,1.8,FALSE
7,2,1,2,0,1,FALSE
9,1,0,1,0,1,FALSE
13,60,34,9,0.375,2.4375,FALSE
4,3,3,2,0,1,FALSE
10,30,2,10,1,4.25,FALSE
25,35,20,14,0.8,1.75,FALSE
17,34,1,13,0.75,2.5,FALSE
11,27,13,11,0.333333,2,FALSE
7,16,3,5,0,3,FALSE
8,14,3,8,0,1.3333,FALSE
13,26,6,12,0.8,1.6,FALSE
1,8,0,0,1,1.4286,FALSE
11,28,1,11,1,2.6667,FALSE
14,22,15,9,0,2.3333,FALSE
12,14,0,12,1,2,FALSE
17,61,6,16,0.8,6.4,FALSE
5,28,1,3,0,2.5,FALSE
8,29,4,8,1,1.75,FALSE
3,30,26,3,1,1.625,FALSE
10,28,9,9,0.5,0.6667,FALSE
7,23,16,4,0.75,1,FALSE
11,27,1,9,1,3.6667,FALSE
7,9,1,7,0,0.5,FALSE
8,19,9,1,1,1.2,FALSE
2,3,1,0,0,0,FALSE
4,2,1,2,0,1,FALSE
12,10,0,9,1,0.6,FALSE
10,1,0,1,0,1,FALSE
11,36,17,9,0.833333,1.9091,FALSE
15,59,203,12,0.916667,1.6957,FALSE
29,76,172,17,0.714286,1.875,FALSE
5,12,3,4,0,1,FALSE
16,24,8,7,0.5,1.2,FALSE
7,11,6,6,0.5,0.5,FALSE
6,10,22,3,0.666667,0.8889,FALSE
5,2,1,2,0,1,FALSE
7,17,8,5,0.666667,1.8,FALSE
19,32,9,4,1,2.8571,FALSE
11,24,6,11,1,1.75,FALSE
16,55,14,12,1,3,FALSE
6,11,35,3,0.666667,0.9,FALSE
7,4,1,2,0,0.5,FALSE
12,31,13,12,0.333333,1.6667,FALSE
5,9,4,5,1,0.5,FALSE
7,4,1,2,0,0.5,FALSE
9,32,30,6,0.857143,1.4615,FALSE
4,8,4,4,1,0.5,FALSE
12,73,67,12,1,2.4,FALSE
11,65,41,11,1,2.7273,FALSE
12,32,17,11,0.333333,2.8571,FALSE
13,39,28,13,0.666667,1.4444,FALSE
2,4,0,0,1,0.6667,FALSE
11,26,4,11,1,2.75,FALSE
1,13,0,0,0,0.5,FALSE
2,12,22,1,1,1.2222,FALSE
5,2,1,2,0,1,FALSE
15,39,7,14,0.666667,4.1667,FALSE
15,21,4,8,0.5,1,FALSE
7,29,11,6,0.2,1.2857,FALSE
6,10,22,3,0.666667,0.8889,FALSE
15,21,4,8,0.5,1,FALSE
8,21,16,5,0.875,1.75,FALSE
12,30,13,12,0.333333,2.1667,FALSE
4,2,1,2,0,1,FALSE
2,12,22,1,1,1.2222,FALSE
7,15,3,7,0,1.3333,FALSE
7,15,3,7,0,1.3333,FALSE
8,2,1,2,0,1,FALSE
8,18,8,7,0.5,0.8,FALSE
6,4,1,0,0,0,FALSE
7,15,3,7,0,1.3333,FALSE
2,4,0,0,1,0.6667,FALSE
10,67,52,10,0.666667,2.25,FALSE
20,29,6,20,0.666667,2,FALSE
17,79,1,15,0.857143,2.7273,FALSE
2,1,0,0,0,1,FALSE
12,25,4,9,0.666667,2,FALSE
5,9,4,5,1,0.5,FALSE
88,6,3,0,1,0,FALSE
12,30,13,12,0.333333,2.1667,FALSE
7,15,3,7,0,1.3333,FALSE
11,48,7,9,0.666667,1.8,FALSE
2,3,1,0,0,0,FALSE
11,24,3,11,0,3,FALSE
10,27,0,8,1,2.6667,FALSE
10,1,0,1,0,1,FALSE
11,13,15,11,0,0.8333,FALSE
14,68,28,13,0.666667,5.2222,FALSE
9,12,26,3,0.428571,0.7778,FALSE
12,1,0,2,0,1,FALSE
5,9,4,5,1,0.5,FALSE
7,4,1,2,0,0.5,FALSE
17,31,245,4,0.666667,1.3462,FALSE
7,14,0,5,0,3,FALSE
2,3,1,0,0,0,FALSE
7,15,3,7,0,1.3333,FALSE
10,35,3,9,1,1,FALSE
7,11,6,6,0.5,0.5,FALSE
14,1,0,3,0,1,FALSE
15,35,13,15,0.333333,2,FALSE
4,3,3,2,0,1,FALSE
4,2,1,2,0,1,FALSE
7,4,6,1,0,1,FALSE
14,16,0,14,1,3,FALSE
13,60,65,10,0.454545,1.8889,FALSE
11,28,8,10,1,1.8,FALSE
11,13,15,11,0,0.8333,FALSE
7,15,3,7,0,1.3333,FALSE
8,17,9,5,1,1.8571,FALSE
14,30,1,12,0,12.5,FALSE
11,24,3,11,0,3,FALSE
18,40,4,16,0.5,0.5,FALSE
17,34,1,13,0.75,2.5,FALSE
23,77,34,19,0.714286,3.4118,FALSE
8,17,9,5,1,1.8571,FALSE
7,11,6,6,0.5,0.5,FALSE
8,24,3,8,0,2.6667,FALSE
10,21,0,9,1,1.6,FALSE
1,8,0,0,1,1.4286,FALSE
0,2,0,0,0,0,FALSE
10,12,66,3,0,1,FALSE
8,19,9,1,1,1.2,FALSE
1,13,0,0,0,0.5,FALSE
2,3,1,0,0,0,FALSE
8,21,16,5,0.875,1.75,FALSE
82,6,3,0,1,0,FALSE
82,6,3,0,1,0,FALSE
11,16,1,6,0,2.5,FALSE
8,18,8,7,0.5,0.8,FALSE
6,34,19,5,0.5,2,FALSE
24,61,30,24,0.75,0.8889,FALSE
11,27,6,10,0.8,1.2,FALSE
14,30,1,12,0,12.5,FALSE
12,14,1,5,0,1.5,FALSE
15,35,13,15,0.333333,2,FALSE
4,1,0,2,0,1,FALSE
14,17,10,2,0,2,FALSE
12,29,3,12,0,3.3333,FALSE
7,22,11,4,1,1.9,FALSE
5,8,1,5,1,0.3333,FALSE
13,40,13,13,0.6,2.6667,FALSE
14,67,0,13,1,10.4,FALSE
10,41,20,9,0.666667,2.375,FALSE
11,27,1,9,1,3.6667,FALSE
10,13,1,6,0.666667,0.6667,FALSE
11,18,10,9,1,0.6,FALSE
17,79,1,15,0.857143,2.7273,FALSE
10,23,13,10,0.333333,1.1667,FALSE
9,22,5,9,1,1.4286,FALSE
12,19,6,8,1,3.2,FALSE
22,33,7,5,1,2.3333,FALSE
8,19,9,1,1,1.2,FALSE
9,29,0,6,1,1.1429,FALSE
8,17,0,6,1,3,FALSE
16,55,14,12,1,3,FALSE
11,6,15,1,0,1,FALSE
15,59,203,12,0.916667,1.6957,FALSE
12,30,13,12,0.333333,2.1667,FALSE
11,13,15,11,0,0.8333,FALSE
7,11,6,6,0.5,0.5,FALSE
11,3,0,3,0,0,FALSE
17,34,1,13,0.75,2.5,FALSE
10,37,14,8,0.714286,3.3333,FALSE
5,2,1,2,0,1,FALSE
9,13,6,9,0,0.75,FALSE
6,34,19,5,0.5,2,FALSE
13,14,5,10,0.75,0.6667,FALSE
10,67,52,10,0.666667,2.25,FALSE
7,9,1,7,0,0.5,FALSE
18,70,143,17,0,2.2174,FALSE
14,68,28,13,0.666667,5.2222,FALSE
15,21,4,8,0.5,1,FALSE
5,28,1,3,0,2.5,FALSE
13,40,13,13,0.6,2.6667,FALSE
10,33,28,10,0.666667,1.2222,FALSE
7,12,1,2,0,0.8333,FALSE
19,70,53,13,0.666667,1.4286,FALSE
2,28,87,1,1,0.9444,FALSE
10,33,28,10,0.666667,1.2222,FALSE
7,14,0,5,0,3,FALSE
10,41,20,9,0.666667,2.375,FALSE
9,2,1,1,0,1,FALSE
4,71,1025,3,1,1.2157,FALSE
12,10,0,9,1,0.6,FALSE
7,13,3,7,0,1.3333,FALSE
21,64,0,21,1,1.625,FALSE
10,18,8,10,0.666667,1,FALSE
14,17,10,2,0,2,FALSE
12,25,4,9,0.666667,2,FALSE
6,8,1,4,0,1.5,FALSE
10,8,28,3,0,1,FALSE
7,15,3,7,0,1.3333,FALSE
33,10,45,5,0,1,FALSE
14,22,15,9,0,2.3333,FALSE
9,22,5,9,1,1.4286,FALSE
14,17,10,2,0,2,FALSE
2,12,22,1,1,1.2222,FALSE
7,4,1,2,0,0.5,FALSE
9,32,30,6,0.857143,1.4615,FALSE
6,33,2,5,1,1.6,FALSE
13,28,2,13,1,1.5,FALSE
17,31,245,4,0.666667,1.3462,FALSE
12,19,6,8,1,3.2,FALSE
13,22,2,12,1,1.75,FALSE
22,21,4,9,1,2.25,FALSE
18,70,143,17,0,2.2174,FALSE
11,38,0,11,0.75,5.2857,FALSE
8,19,9,1,1,1.2,FALSE
12,19,6,8,1,3.2,FALSE
82,6,3,0,1,0,FALSE
12,65,3,11,0.5,7,FALSE
20,59,2,20,0.75,0.6,FALSE
6,34,19,5,0.5,2,FALSE
12,39,6,12,0.666667,3,FALSE
5,9,4,5,1,0.5,FALSE
10,12,66,3,0,1,FALSE
6,5,1,4,0,0.5,FALSE
2,4,0,0,1,0.6667,FALSE
10,29,2,10,1,5,FALSE
10,13,1,6,0.666667,0.6667,FALSE
9,44,5,9,0.75,3.4286,FALSE
9,13,6,9,0,0.75,FALSE
2,3,1,0,0,0,FALSE
9,22,3,9,0,4,FALSE
8,8,4,7,1,0.75,FALSE
4,13,1,4,0,0.6667,TRUE
14,53,78,10,1,2.5882,TRUE
15,38,7,14,0.666667,4,TRUE
28,84,99,28,1,2.6,TRUE
5,30,1,3,0,4.5,TRUE
38,108,39,37,0.5,2.2,TRUE
11,56,20,10,1,5.125,TRUE
17,39,30,16,0.75,1.3333,TRUE
17,38,20,17,1,1.625,TRUE
11,56,20,10,1,5.125,TRUE
34,96,9,32,0.75,4.2857,TRUE
39,96,30,38,1,2.3333,TRUE
11,28,6,11,0.666667,3.2,TRUE
14,35,0,7,1,1.5,TRUE
17,39,30,16,0.75,1.3333,TRUE
45,147,490,29,0.909091,1.4667,TRUE
12,38,27,9,1,2,TRUE
7,19,4,7,1,1.5,TRUE
38,102,30,37,1,2.2222,TRUE
15,14,1,10,0,3.5,TRUE
31,36,22,14,1,1.75,TRUE
15,38,7,14,0.666667,4,TRUE
9,27,3,9,0,2.6667,TRUE
13,1,0,2,0,1,TRUE
38,102,30,37,1,2.2222,TRUE
30,103,48,28,0.833333,4.0625,TRUE
12,37,2,7,1,2.5833,TRUE
4,29,58,3,1,1.5625,TRUE
11,8,0,10,1,1.5,TRUE
19,15,1,15,0,3.5,TRUE
38,102,30,37,1,2.2222,TRUE
8,47,13,8,0.5,1.5,TRUE
14,35,0,7,1,1.5,TRUE
19,15,1,15,0,3.5,TRUE
17,57,2,16,1,7.75,TRUE
15,61,234,11,1,2.08,TRUE
10,32,3,10,1,4.3333,TRUE
45,147,490,29,0.909091,1.4667,TRUE
17,68,43,15,0.777778,1.8,TRUE
9,27,3,9,0,2.6667,TRUE
35,101,3,33,1,1.6667,TRUE
10,32,3,10,1,4.3333,TRUE
16,46,87,12,1,1.5,TRUE
31,107,104,29,0.833333,3.5,TRUE
10,44,47,8,0.7,2.6,TRUE
8,27,35,5,1,1.5714,TRUE
4,13,1,4,0,0.6667,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
10,44,47,8,0.7,2.6,TRUE
9,27,3,9,0,2.6667,TRUE
13,35,20,13,1,1.5,TRUE
13,5,10,3,0,1,TRUE
16,46,87,12,1,1.5,TRUE
28,87,150,26,0.727273,2.9167,TRUE
12,60,0,11,1,8.2,TRUE
42,105,589,20,0.9,2.0426,TRUE
5,30,1,3,0,4.5,TRUE
17,57,2,16,1,7.75,TRUE
28,87,150,26,0.727273,2.9167,TRUE
25,9,36,4,0,1,TRUE
9,49,4,7,1,3,TRUE
31,107,104,29,0.833333,3.5,TRUE
7,22,11,4,1,1.9,TRUE
11,28,6,11,0.666667,3.2,TRUE
4,29,58,3,1,1.5625,TRUE
31,36,22,14,1,1.75,TRUE
5,30,1,3,0,4.5,TRUE
45,147,490,29,0.909091,1.4667,TRUE
10,32,3,10,1,4.3333,TRUE
12,36,3,12,0.666667,3.7143,TRUE
23,33,7,5,1,2.3333,TRUE
11,2,1,3,0,1,TRUE
14,58,100,12,1,2.0588,TRUE
23,33,7,5,1,2.3333,TRUE
11,6,1,3,0,0,TRUE
15,38,2,14,1,5.6,TRUE
9,49,4,7,1,3,TRUE
5,30,1,3,0,4.5,TRUE
20,33,8,18,1,2,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
20,25,2,20,1,2.25,TRUE
23,33,7,5,1,2.3333,TRUE
11,8,0,10,1,1.5,TRUE
18,52,37,15,1,2.0667,TRUE
15,58,100,13,1,2.0588,TRUE
14,65,20,13,1,5.875,TRUE
38,102,30,37,1,2.2222,TRUE
12,37,2,7,1,2.5833,TRUE
10,16,3,10,0,1.6667,TRUE
23,33,7,5,1,2.3333,TRUE
11,28,6,11,0.666667,3.2,TRUE
14,65,20,13,1,5.875,TRUE
29,64,38,28,1,2.0833,TRUE
10,36,2,10,1,4.5,TRUE
15,1,0,3,0,1,TRUE
13,1,0,2,0,1,TRUE
10,30,4,10,1,1.75,TRUE
10,16,3,10,0,1.6667,TRUE
9,17,13,8,1,0.8571,TRUE
26,63,20,26,1,1,TRUE
14,58,100,12,1,2.0588,TRUE
13,26,2,11,1,3.5,TRUE
71,45,13,21,1,2.1667,TRUE
13,26,2,11,1,3.5,TRUE
11,38,81,10,1,0.8667,TRUE
71,45,13,21,1,2.1667,TRUE
11,58,28,10,0.666667,4.5556,TRUE
30,103,48,28,0.833333,4.0625,TRUE
7,16,4,6,1,1.5,TRUE
10,32,3,10,1,4.3333,TRUE
19,15,1,15,0,3.5,TRUE
13,36,493,0,1,0.9714,TRUE
17,39,30,16,0.75,1.3333,TRUE
18,52,37,15,1,2.0667,TRUE
11,56,20,10,1,5.125,TRUE
18,71,1,16,0.857143,2.7273,TRUE
14,65,20,13,1,5.875,TRUE
18,71,1,16,0.857143,2.7273,TRUE
14,16,0,14,1,3,TRUE
17,57,2,16,1,7.75,TRUE
4,22,2,3,1,1.75,TRUE
12,36,3,12,0.666667,3.7143,TRUE
11,28,6,11,0.666667,3.2,TRUE
38,108,39,37,0.5,2.2,TRUE
12,60,0,11,1,8.2,TRUE
42,105,589,20,0.9,2.0426,TRUE
15,53,25,7,1,2.9,TRUE
8,8,4,7,1,0.75,TRUE
13,5,10,3,0,1,TRUE
9,49,4,7,1,3,TRUE
45,147,490,29,0.909091,1.4667,TRUE
34,52,60,12,1,2.8125,TRUE
18,58,43,16,0.666667,2.6667,TRUE
25,44,32,25,1,1.8889,TRUE
30,103,48,28,0.833333,4.0625,TRUE
5,30,1,3,0,4.5,TRUE
12,60,0,11,1,8.2,TRUE
12,38,27,9,1,2,TRUE
34,96,9,32,0.75,4.2857,TRUE
15,14,1,10,0,3.5,TRUE
12,14,0,12,1,2,TRUE
15,38,7,14,0.666667,4,TRUE
11,38,81,10,1,0.8667,TRUE
13,1,0,2,0,1,TRUE
4,13,1,4,0,0.6667,TRUE
15,38,7,14,0.666667,4,TRUE
13,5,10,3,0,1,TRUE
12,37,2,7,1,2.5833,TRUE
29,64,38,28,1,2.0833,TRUE
12,14,0,12,1,2,TRUE
6,6,3,5,0,0.3333,TRUE
15,53,25,7,1,2.9,TRUE
12,37,2,7,1,2.5833,TRUE
25,44,32,25,1,1.8889,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
5,30,1,3,0,4.5,TRUE
16,46,87,12,1,1.5,TRUE
17,32,11,16,0.777778,2.8333,TRUE
10,16,3,10,0,1.6667,TRUE
11,8,0,10,1,1.5,TRUE
30,103,48,28,0.833333,4.0625,TRUE
25,44,32,25,1,1.8889,TRUE
8,13,2,8,1,1,TRUE
13,1,0,2,0,1,TRUE
10,32,3,10,1,4.3333,TRUE
34,52,60,12,1,2.8125,TRUE
15,38,7,14,0.666667,4,TRUE
18,58,43,16,0.666667,2.6667,TRUE
10,16,3,10,0,1.6667,TRUE
7,19,4,7,1,1.5,TRUE
8,27,35,5,1,1.5714,TRUE
7,19,4,7,1,1.5,TRUE
14,35,0,7,1,1.5,TRUE
13,35,20,13,1,1.5,TRUE
14,16,0,14,1,3,TRUE
29,64,38,28,1,2.0833,TRUE
15,37,2,14,1,5.4,TRUE
10,30,4,10,1,1.75,TRUE
14,65,20,13,1,5.875,TRUE
7,19,4,7,1,1.5,TRUE
13,48,63,10,0.875,2,TRUE
10,30,4,10,1,1.75,TRUE
11,58,28,10,0.666667,4.5556,TRUE
14,53,78,10,1,2.5882,TRUE
17,38,20,17,1,1.625,TRUE
25,44,32,25,1,1.8889,TRUE
10,44,47,8,0.7,2.6,TRUE
11,6,1,3,0,0,TRUE
17,57,2,16,1,7.75,TRUE
25,44,32,25,1,1.8889,TRUE
9,27,3,9,0,2.6667,TRUE
11,56,20,10,1,5.125,TRUE
31,36,22,14,1,1.75,TRUE
28,87,150,26,0.727273,2.9167,TRUE
15,38,7,14,0.666667,4,TRUE
15,37,2,14,1,5.4,TRUE
4,13,1,4,0,0.6667,TRUE
10,44,47,8,0.7,2.6,TRUE
8,13,2,8,1,1,TRUE
17,32,11,16,0.777778,2.8333,TRUE
11,6,1,3,0,0,TRUE
71,45,13,21,1,2.1667,TRUE
14,74,299,12,1,2.0333,TRUE
38,102,30,37,1,2.2222,TRUE
8,13,2,8,1,1,TRUE
38,108,39,37,0.5,2.2,TRUE
11,2,1,3,0,1,TRUE
11,58,28,10,0.666667,4.5556,TRUE
13,5,10,3,0,1,TRUE
11,56,20,10,1,5.125,TRUE
20,25,2,20,1,2.25,TRUE
7,22,11,4,1,1.9,TRUE
5,30,1,3,0,4.5,TRUE
12,60,0,11,1,8.2,TRUE
11,28,6,11,0.666667,3.2,TRUE
8,8,4,7,1,0.75,TRUE
28,87,150,26,0.727273,2.9167,TRUE
38,102,30,37,1,2.2222,TRUE
7,22,11,4,1,1.9,TRUE
26,77,99,26,1,2.6,TRUE
28,84,99,28,1,2.6,TRUE
15,37,2,14,1,5.4,TRUE
7,22,11,4,1,1.9,TRUE
12,36,3,12,0.666667,3.7143,TRUE
8,27,35,5,1,1.5714,TRUE
25,9,36,4,0,1,TRUE
31,107,104,29,0.833333,3.5,TRUE
31,36,22,14,1,1.75,TRUE
7,16,4,6,1,1.5,TRUE
11,58,28,10,0.666667,4.5556,TRUE
4,22,2,3,1,1.75,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
17,68,43,15,0.777778,1.8,TRUE
11,6,1,3,0,0,TRUE
11,38,81,10,1,0.8667,TRUE
11,6,1,3,0,0,TRUE
15,58,100,13,1,2.0588,TRUE
30,103,48,28,0.833333,4.0625,TRUE
9,27,3,9,0,2.6667,TRUE
10,44,47,8,0.7,2.6,TRUE
18,52,37,15,1,2.0667,TRUE
20,33,8,18,1,2,TRUE
13,35,20,13,1,1.5,TRUE
34,96,9,32,0.75,4.2857,TRUE
15,61,234,11,1,2.08,TRUE
17,39,30,16,0.75,1.3333,TRUE
17,39,30,16,0.75,1.3333,TRUE
29,64,38,28,1,2.0833,TRUE
8,27,35,5,1,1.5714,TRUE
28,87,150,26,0.727273,2.9167,TRUE
25,9,36,4,0,1,TRUE
18,58,43,16,0.666667,2.6667,TRUE
13,5,10,3,0,1,TRUE
29,64,38,28,1,2.0833,TRUE
12,38,27,9,1,2,TRUE
25,9,36,4,0,1,TRUE
8,8,4,7,1,0.75,TRUE
38,102,30,37,1,2.2222,TRUE
18,52,37,15,1,2.0667,TRUE
13,26,0,6,1,1.4,TRUE
15,38,2,14,1,5.6,TRUE
29,64,38,28,1,2.0833,TRUE
30,103,48,28,0.833333,4.0625,TRUE
35,101,3,33,1,1.6667,TRUE
20,51,0,16,1,6.4,TRUE
17,57,2,16,1,7.75,TRUE
16,46,87,12,1,1.5,TRUE
15,37,2,14,1,5.4,TRUE
10,30,4,10,1,1.75,TRUE
11,58,28,10,0.666667,4.5556,TRUE
28,84,99,28,1,2.6,TRUE
4,22,2,3,1,1.75,TRUE
71,45,13,21,1,2.1667,TRUE
4,29,58,3,1,1.5625,TRUE
15,37,2,14,1,5.4,TRUE
45,147,490,29,0.909091,1.4667,TRUE
15,38,7,14,0.666667,4,TRUE
23,33,7,5,1,2.3333,TRUE
28,84,99,28,1,2.6,TRUE
9,17,13,8,1,0.8571,TRUE
30,103,48,28,0.833333,4.0625,TRUE
7,22,11,4,1,1.9,TRUE
45,147,490,29,0.909091,1.4667,TRUE
20,33,8,18,1,2,TRUE
28,87,150,26,0.727273,2.9167,TRUE
14,74,299,12,1,2.0333,TRUE
10,36,2,10,1,4.5,TRUE
19,15,1,15,0,3.5,TRUE
8,27,35,5,1,1.5714,TRUE
15,61,234,11,1,2.08,TRUE
29,92,213,27,0.714286,2.3704,TRUE
10,36,2,10,1,4.5,TRUE
20,25,2,20,1,2.25,TRUE
7,22,11,4,1,1.9,TRUE
10,36,2,10,1,4.5,TRUE
15,38,2,14,1,5.6,TRUE
8,27,35,5,1,1.5714,TRUE
20,33,8,18,1,2,TRUE
20,62,0,20,1,1.625,TRUE
42,105,589,20,0.9,2.0426,TRUE
26,77,99,26,1,2.6,TRUE
17,39,30,16,0.75,1.3333,TRUE
4,22,2,3,1,1.75,TRUE
15,58,100,13,1,2.0588,TRUE
18,71,1,16,0.857143,2.7273,TRUE
10,29,20,10,1,1.25,TRUE
10,32,3,10,1,4.3333,TRUE
35,101,3,33,1,1.6667,TRUE
34,96,9,32,0.75,4.2857,TRUE
7,22,11,4,1,1.9,TRUE
11,28,6,11,0.666667,3.2,TRUE
29,64,38,28,1,2.0833,TRUE
9,49,4,7,1,3,TRUE
17,57,2,16,1,7.75,TRUE
18,58,43,16,0.666667,2.6667,TRUE
17,32,11,16,0.777778,2.8333,TRUE
15,38,2,14,1,5.6,TRUE
29,92,213,27,0.714286,2.3704,TRUE
18,58,43,16,0.666667,2.6667,TRUE
17,57,2,16,1,7.75,TRUE
8,27,35,5,1,1.5714,TRUE
25,44,32,25,1,1.8889,TRUE
11,8,0,10,1,1.5,TRUE
7,16,4,6,1,1.5,TRUE
5,8,1,5,1,0.3333,TRUE
5,8,1,5,1,0.3333,TRUE
38,102,30,37,1,2.2222,TRUE
12,36,3,12,0.666667,3.7143,TRUE
5,30,1,3,0,4.5,TRUE
