@relation synapseA-weka.filters.supervised.instance.Resample-B1.0-S1-Z155.924171

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,12,22,1,1,1.2222,FALSE
12,29,2,12,1,2.25,FALSE
4,8,28,0,0,1,FALSE
13,44,7,10,0.181818,1.5455,FALSE
21,73,110,19,1,2.4286,FALSE
22,66,4,20,1,0.6,FALSE
4,8,28,0,0,1,FALSE
8,14,3,8,0,1.3333,FALSE
4,3,3,2,0,1,FALSE
13,60,65,10,0.454545,1.8889,FALSE
9,2,1,1,0,1,FALSE
0,2,0,0,0,0,FALSE
8,14,3,8,0,1.3333,FALSE
14,14,1,10,0,3.5,FALSE
7,4,6,1,0,1,FALSE
16,24,8,7,0.5,1.2,FALSE
12,39,6,12,0.666667,3,FALSE
8,4,6,2,0,1,FALSE
7,15,3,7,0,1.3333,FALSE
18,44,781,0,1,0.9767,FALSE
6,22,0,3,1,3,FALSE
10,23,13,10,0.333333,1.1667,FALSE
8,18,4,6,0.666667,1.5,FALSE
10,21,0,9,1,1.6,FALSE
12,29,3,12,0,3.3333,FALSE
4,8,28,0,0,1,FALSE
7,13,3,7,0,1.3333,FALSE
2,12,22,1,1,1.2222,FALSE
24,18,10,7,1,1.4,FALSE
2,7,1,1,0,1.3333,FALSE
10,8,28,3,0,1,FALSE
11,16,1,6,0,2.5,FALSE
7,15,3,7,0,1.3333,FALSE
10,20,13,10,0.8,0.6667,FALSE
74,4,6,1,0,1,FALSE
17,79,1,15,0.857143,2.7273,FALSE
23,77,34,19,0.714286,3.4118,FALSE
55,4,6,1,0,1,FALSE
12,31,13,12,0.333333,1.6667,FALSE
7,2,1,2,0,1,FALSE
7,4,6,1,0,1,FALSE
15,32,9,14,0.777778,2.8333,FALSE
6,10,22,3,0.666667,0.8889,FALSE
8,24,3,8,0,2.6667,FALSE
11,38,0,9,1,1.3636,FALSE
11,48,7,9,0.666667,1.8,FALSE
11,32,13,10,0.5,1.6667,FALSE
5,15,1,3,0,1,FALSE
11,31,3,11,0,3.6667,FALSE
11,27,1,9,1,3.6667,FALSE
9,28,6,9,0.666667,0.8,FALSE
11,8,0,10,1,1.5,FALSE
14,14,1,10,0,3.5,FALSE
11,24,4,8,0,4.25,FALSE
11,23,2,10,1,1.25,FALSE
33,10,45,5,0,1,FALSE
10,67,52,10,0.666667,2.25,FALSE
12,25,4,9,0.666667,2,FALSE
12,1,0,2,0,1,FALSE
11,92,349,11,1,1.6296,FALSE
6,8,1,4,0,1.5,FALSE
6,7,0,3,1,1.6667,FALSE
10,8,28,3,0,1,FALSE
15,8,1,4,0,2.5,FALSE
18,46,14,16,1,2.25,FALSE
6,33,2,5,1,1.6,FALSE
16,30,1,14,0,12.5,FALSE
9,32,0,7,1,2.625,FALSE
4,2,1,2,0,1,FALSE
2,1,0,0,0,1,FALSE
18,46,14,16,1,2.25,FALSE
7,14,0,5,0,3,FALSE
5,12,3,4,0,1,FALSE
23,77,34,19,0.714286,3.4118,FALSE
13,28,2,13,1,1.5,FALSE
14,35,0,7,1,1.5,FALSE
12,1,0,2,0,1,FALSE
4,3,3,2,0,1,FALSE
12,30,13,12,0.333333,2.1667,FALSE
11,16,1,6,0,2.5,FALSE
19,32,9,4,1,2.8571,FALSE
2,8,3,1,0,0,FALSE
8,14,3,8,0,1.3333,FALSE
12,14,1,5,0,1.5,FALSE
10,2,1,2,0,1,FALSE
13,22,2,12,1,1.75,FALSE
21,73,110,19,1,2.4286,FALSE
18,44,781,0,1,0.9767,FALSE
2,1,0,0,0,1,FALSE
4,31,0,0,1,2,FALSE
15,22,8,8,0.5,1,FALSE
8,21,16,5,0.875,1.75,FALSE
2,7,1,1,0,1.3333,FALSE
21,44,24,21,0.8,1.125,FALSE
20,59,2,20,0.75,0.6,FALSE
14,22,15,9,0,2.3333,FALSE
11,38,0,9,1,1.3636,FALSE
11,28,1,11,1,2.6667,FALSE
46,7,21,1,0,1,FALSE
13,26,6,12,0.8,1.6,FALSE
11,27,6,10,0.8,1.2,FALSE
7,29,11,6,0.2,1.2857,FALSE
11,38,0,11,0.75,5.2857,FALSE
7,4,1,2,0,0.5,FALSE
7,15,3,7,0,1.3333,FALSE
5,2,1,2,0,1,FALSE
8,20,8,8,0.857143,1.8,FALSE
11,48,7,9,0.666667,1.8,FALSE
10,23,13,10,0.333333,1.1667,FALSE
17,42,28,17,0.666667,1.5556,FALSE
10,27,4,10,1,2.75,FALSE
11,18,10,9,1,0.6,FALSE
7,15,3,7,0,1.3333,FALSE
55,4,6,1,0,1,FALSE
14,14,1,10,0,3.5,FALSE
18,46,14,16,1,2.25,FALSE
10,20,13,10,0.8,0.6667,FALSE
4,3,3,2,0,1,FALSE
11,34,2,11,1,3.5,FALSE
10,16,3,10,0,1.6667,FALSE
10,33,28,10,0.666667,1.2222,FALSE
8,20,8,8,0.857143,1.8,FALSE
11,92,349,11,1,1.6296,FALSE
11,36,17,9,0.833333,1.9091,FALSE
13,60,34,9,0.375,2.4375,FALSE
17,34,1,13,0.75,2.5,FALSE
13,14,0,2,1,1.4286,FALSE
8,19,3,8,0,3,FALSE
2,8,3,1,0,0,FALSE
11,28,1,11,1,2.6667,FALSE
12,30,13,12,0.333333,2.5,FALSE
5,9,4,5,1,0.5,FALSE
5,8,1,5,1,0.3333,FALSE
13,44,7,10,0.181818,1.5455,FALSE
6,4,1,0,0,0,FALSE
11,16,1,6,0,2.5,FALSE
7,15,3,7,0,1.3333,FALSE
6,7,0,3,1,1.6667,FALSE
4,8,4,4,1,0.5,FALSE
6,31,13,5,1,2.1667,FALSE
13,39,28,13,0.666667,1.4444,FALSE
9,32,0,7,1,2.625,FALSE
17,62,103,15,0.909091,2.0556,FALSE
8,14,1,8,0,0.5,FALSE
4,31,0,0,1,2,FALSE
9,32,0,7,1,2.625,FALSE
19,70,53,13,0.666667,1.4286,FALSE
71,48,1128,10,0,1,FALSE
8,14,3,8,0,1.3333,FALSE
20,37,13,19,0.5,1.8333,FALSE
4,31,0,0,1,2,FALSE
15,8,1,4,0,2.5,FALSE
6,34,19,5,0.5,2,FALSE
8,17,0,6,1,3,FALSE
23,77,34,19,0.714286,3.4118,FALSE
25,79,66,24,0.5,2.7692,FALSE
13,60,65,10,0.454545,1.8889,FALSE
5,11,3,2,1,1.1429,FALSE
4,3,3,2,0,1,FALSE
24,18,10,7,1,1.4,FALSE
4,18,13,4,1,0.6667,FALSE
7,4,6,1,0,1,FALSE
12,73,67,12,1,2.4,FALSE
7,23,16,4,0.75,1,FALSE
21,44,24,21,0.8,1.125,FALSE
55,4,6,1,0,1,FALSE
15,8,1,4,0,2.5,FALSE
5,9,4,5,1,0.5,FALSE
9,13,6,9,0,0.75,FALSE
12,29,3,12,0,3.3333,FALSE
2,8,3,1,0,0,FALSE
11,34,2,11,1,3.5,FALSE
13,60,12,10,0,5.125,FALSE
21,64,0,21,1,1.625,FALSE
22,21,4,9,1,2.25,FALSE
11,23,2,10,1,1.25,FALSE
4,71,1025,3,1,1.2157,FALSE
7,14,0,5,0,3,FALSE
25,35,20,14,0.8,1.75,FALSE
4,8,28,0,0,1,FALSE
9,22,5,9,1,1.4286,FALSE
55,4,6,1,0,1,FALSE
11,13,15,11,0,0.8333,FALSE
18,40,4,16,0.5,0.5,FALSE
13,60,12,10,0,5.125,FALSE
6,26,0,3,1,4.2,FALSE
6,26,0,3,1,4.2,FALSE
8,19,3,8,0,3,FALSE
24,61,30,24,0.75,0.8889,FALSE
0,2,0,0,0,0,FALSE
18,15,1,15,0,3.5,FALSE
7,15,3,7,0,1.3333,FALSE
11,3,0,3,0,0,FALSE
1,8,0,0,1,1.4286,FALSE
11,92,349,11,1,1.6296,FALSE
10,2,1,2,0,1,FALSE
5,9,4,5,1,0.5,FALSE
4,8,4,4,1,0.5,FALSE
18,70,143,17,0,2.2174,FALSE
14,30,1,12,0,12.5,FALSE
12,32,0,10,1,2,FALSE
22,66,4,20,1,0.6,FALSE
31,48,37,11,1,2.9286,FALSE
7,12,1,2,0,0.8333,FALSE
12,14,1,5,0,1.5,FALSE
11,13,15,11,0,0.8333,FALSE
9,21,20,8,0.666667,0.875,FALSE
17,88,56,15,0.909091,2.125,FALSE
16,49,6,14,0.666667,3.4167,FALSE
11,13,15,11,0,0.8333,FALSE
9,26,3,9,0,3.6667,FALSE
7,11,6,6,0.5,0.5,FALSE
19,32,9,4,1,2.8571,FALSE
9,29,0,6,1,1.1429,FALSE
7,2,1,2,0,1,FALSE
16,50,59,15,0.875,1.0667,FALSE
20,29,6,20,0.666667,2,FALSE
17,34,1,13,0.75,2.5,FALSE
13,28,2,13,1,1.5,FALSE
7,12,1,2,0,0.8333,FALSE
6,31,13,5,1,2.1667,FALSE
15,21,4,8,0.5,1,FALSE
7,29,11,6,0.2,1.2857,FALSE
9,22,3,9,0,3.3333,FALSE
10,23,13,10,0.333333,1.1667,FALSE
12,25,4,9,0.666667,2,FALSE
11,26,13,11,0.333333,1.3333,FALSE
8,18,0,6,1,3,FALSE
4,1,0,2,0,1,FALSE
5,2,1,2,0,1,FALSE
11,28,8,10,1,1.8,FALSE
10,24,11,9,0.666667,2.8333,FALSE
8,24,3,8,0,2.6667,FALSE
16,30,1,14,0,12.5,FALSE
12,39,6,12,0.666667,3,FALSE
9,22,5,9,1,1.4286,FALSE
11,28,1,11,1,2.6667,FALSE
11,28,8,10,1,1.8,FALSE
6,4,1,0,0,0,FALSE
12,32,17,11,0.333333,2.8571,FALSE
12,32,0,10,1,2,FALSE
9,1,0,1,0,1,FALSE
2,3,1,0,0,0,FALSE
17,42,28,17,0.666667,1.5556,FALSE
4,3,3,2,0,1,FALSE
6,31,13,5,1,2.1667,FALSE
5,9,4,5,1,0.5,FALSE
12,28,3,12,0,3,FALSE
11,27,6,10,0.8,1.2,FALSE
10,8,28,3,0,1,FALSE
11,27,6,10,0.8,1.2,FALSE
9,22,5,9,1,1.4286,FALSE
13,60,34,9,0.375,2.4375,FALSE
9,22,5,9,1,1.4286,FALSE
3,32,4,0,0.8,2,FALSE
14,68,28,13,0.666667,5.2222,FALSE
7,9,1,7,0,0.5,FALSE
14,14,1,10,0,3.5,FALSE
11,36,17,9,0.833333,1.9091,FALSE
13,35,7,13,0.857143,1.8571,FALSE
7,15,3,7,0,1.3333,FALSE
9,22,3,9,0,3.3333,FALSE
17,34,1,13,0.75,2.5,FALSE
10,18,8,10,0.666667,1,FALSE
23,33,7,5,1,2.3333,TRUE
5,8,1,5,1,0.3333,TRUE
13,26,0,6,1,1.4,TRUE
12,60,0,11,1,8.2,TRUE
17,57,2,16,1,7.75,TRUE
13,35,20,13,1,1.5,TRUE
4,13,1,4,0,0.6667,TRUE
20,51,0,16,1,6.4,TRUE
13,1,0,2,0,1,TRUE
20,25,2,20,1,2.25,TRUE
29,64,38,28,1,2.0833,TRUE
4,13,1,4,0,0.6667,TRUE
12,60,0,11,1,8.2,TRUE
11,58,28,10,0.666667,4.5556,TRUE
11,2,1,3,0,1,TRUE
14,65,20,13,1,5.875,TRUE
26,63,20,26,1,1,TRUE
28,87,150,26,0.727273,2.9167,TRUE
28,84,99,28,1,2.6,TRUE
4,13,1,4,0,0.6667,TRUE
31,36,22,14,1,1.75,TRUE
29,64,38,28,1,2.0833,TRUE
6,6,3,5,0,0.3333,TRUE
29,92,213,27,0.714286,2.3704,TRUE
19,15,1,15,0,3.5,TRUE
10,30,4,10,1,1.75,TRUE
8,27,35,5,1,1.5714,TRUE
11,38,81,10,1,0.8667,TRUE
6,6,3,5,0,0.3333,TRUE
11,6,1,3,0,0,TRUE
16,46,87,12,1,1.5,TRUE
18,52,37,15,1,2.0667,TRUE
14,53,78,10,1,2.5882,TRUE
26,77,99,26,1,2.6,TRUE
9,17,13,8,1,0.8571,TRUE
9,27,3,9,0,2.6667,TRUE
28,84,99,28,1,2.6,TRUE
11,2,1,3,0,1,TRUE
20,62,0,20,1,1.625,TRUE
13,36,493,0,1,0.9714,TRUE
11,2,1,3,0,1,TRUE
10,30,4,10,1,1.75,TRUE
29,64,38,28,1,2.0833,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
18,52,37,15,1,2.0667,TRUE
14,74,299,12,1,2.0333,TRUE
5,8,1,5,1,0.3333,TRUE
23,33,7,5,1,2.3333,TRUE
14,35,0,7,1,1.5,TRUE
15,38,7,14,0.666667,4,TRUE
17,57,2,16,1,7.75,TRUE
39,96,30,38,1,2.3333,TRUE
18,58,43,16,0.666667,2.6667,TRUE
17,68,43,15,0.777778,1.8,TRUE
18,58,43,16,0.666667,2.6667,TRUE
17,39,30,16,0.75,1.3333,TRUE
4,22,2,3,1,1.75,TRUE
15,37,2,14,1,5.4,TRUE
38,102,30,37,1,2.2222,TRUE
12,38,27,9,1,2,TRUE
12,60,0,11,1,8.2,TRUE
18,71,1,16,0.857143,2.7273,TRUE
17,39,30,16,0.75,1.3333,TRUE
28,84,99,28,1,2.6,TRUE
26,63,20,26,1,1,TRUE
42,105,589,20,0.9,2.0426,TRUE
12,60,0,11,1,8.2,TRUE
4,22,2,3,1,1.75,TRUE
14,58,100,12,1,2.0588,TRUE
20,33,8,18,1,2,TRUE
9,49,4,7,1,3,TRUE
13,1,0,2,0,1,TRUE
26,63,20,26,1,1,TRUE
20,25,2,20,1,2.25,TRUE
29,92,213,27,0.714286,2.3704,TRUE
13,5,10,3,0,1,TRUE
30,103,48,28,0.833333,4.0625,TRUE
14,58,100,12,1,2.0588,TRUE
14,35,0,7,1,1.5,TRUE
34,96,9,32,0.75,4.2857,TRUE
15,38,2,14,1,5.6,TRUE
17,38,20,17,1,1.625,TRUE
18,58,43,16,0.666667,2.6667,TRUE
9,27,3,9,0,2.6667,TRUE
31,36,22,14,1,1.75,TRUE
12,60,0,11,1,8.2,TRUE
12,60,0,11,1,8.2,TRUE
12,36,3,12,0.666667,3.7143,TRUE
20,33,8,18,1,2,TRUE
10,16,3,10,0,1.6667,TRUE
14,53,78,10,1,2.5882,TRUE
8,13,2,8,1,1,TRUE
7,22,11,4,1,1.9,TRUE
12,60,0,11,1,8.2,TRUE
13,26,0,6,1,1.4,TRUE
34,52,60,12,1,2.8125,TRUE
13,26,0,6,1,1.4,TRUE
20,51,0,16,1,6.4,TRUE
20,33,8,18,1,2,TRUE
13,26,0,6,1,1.4,TRUE
13,1,0,2,0,1,TRUE
18,71,1,16,0.857143,2.7273,TRUE
25,44,32,25,1,1.8889,TRUE
17,57,2,16,1,7.75,TRUE
7,19,4,7,1,1.5,TRUE
14,65,20,13,1,5.875,TRUE
10,16,3,10,0,1.6667,TRUE
20,25,2,20,1,2.25,TRUE
28,87,150,26,0.727273,2.9167,TRUE
28,84,99,28,1,2.6,TRUE
20,51,0,16,1,6.4,TRUE
13,35,20,13,1,1.5,TRUE
11,2,1,3,0,1,TRUE
13,26,2,11,1,3.5,TRUE
26,63,20,26,1,1,TRUE
18,71,1,16,0.857143,2.7273,TRUE
15,1,0,3,0,1,TRUE
14,35,0,7,1,1.5,TRUE
15,38,7,14,0.666667,4,TRUE
15,38,2,14,1,5.6,TRUE
18,58,43,16,0.666667,2.6667,TRUE
34,52,60,12,1,2.8125,TRUE
38,102,30,37,1,2.2222,TRUE
15,38,7,14,0.666667,4,TRUE
14,19,1,12,1,2.3333,TRUE
13,5,10,3,0,1,TRUE
38,108,39,37,0.5,2.2,TRUE
29,92,213,27,0.714286,2.3704,TRUE
39,96,30,38,1,2.3333,TRUE
15,53,25,7,1,2.9,TRUE
45,147,490,29,0.909091,1.4667,TRUE
15,1,0,3,0,1,TRUE
38,108,39,37,0.5,2.2,TRUE
15,38,2,14,1,5.6,TRUE
13,26,0,6,1,1.4,TRUE
28,87,150,26,0.727273,2.9167,TRUE
45,147,490,29,0.909091,1.4667,TRUE
14,74,299,12,1,2.0333,TRUE
38,102,30,37,1,2.2222,TRUE
31,107,104,29,0.833333,3.5,TRUE
5,30,1,3,0,4.5,TRUE
6,6,3,5,0,0.3333,TRUE
31,96,28,27,0,2.875,TRUE
34,52,60,12,1,2.8125,TRUE
4,13,1,4,0,0.6667,TRUE
17,32,11,16,0.777778,2.8333,TRUE
18,52,37,15,1,2.0667,TRUE
11,56,20,10,1,5.125,TRUE
11,38,81,10,1,0.8667,TRUE
8,13,2,8,1,1,TRUE
14,16,0,14,1,3,TRUE
14,35,0,7,1,1.5,TRUE
15,1,0,3,0,1,TRUE
13,35,20,13,1,1.5,TRUE
38,102,30,37,1,2.2222,TRUE
14,65,20,13,1,5.875,TRUE
29,92,213,27,0.714286,2.3704,TRUE
8,13,2,8,1,1,TRUE
38,108,39,37,0.5,2.2,TRUE
18,71,1,16,0.857143,2.7273,TRUE
15,53,25,7,1,2.9,TRUE
12,37,2,7,1,2.5833,TRUE
12,14,0,12,1,2,TRUE
71,45,13,21,1,2.1667,TRUE
10,44,47,8,0.7,2.6,TRUE
11,8,0,10,1,1.5,TRUE
14,74,299,12,1,2.0333,TRUE
10,30,4,10,1,1.75,TRUE
11,8,0,10,1,1.5,TRUE
6,6,3,5,0,0.3333,TRUE
18,71,1,16,0.857143,2.7273,TRUE
15,61,234,11,1,2.08,TRUE
20,62,0,20,1,1.625,TRUE
14,74,299,12,1,2.0333,TRUE
10,44,47,8,0.7,2.6,TRUE
15,53,25,7,1,2.9,TRUE
14,16,0,14,1,3,TRUE
15,1,0,3,0,1,TRUE
14,19,1,12,1,2.3333,TRUE
42,105,589,20,0.9,2.0426,TRUE
17,32,11,16,0.777778,2.8333,TRUE
13,26,0,6,1,1.4,TRUE
10,29,20,10,1,1.25,TRUE
10,44,47,8,0.7,2.6,TRUE
38,108,39,37,0.5,2.2,TRUE
14,74,299,12,1,2.0333,TRUE
31,96,28,27,0,2.875,TRUE
35,101,3,33,1,1.6667,TRUE
9,27,3,9,0,2.6667,TRUE
15,38,7,14,0.666667,4,TRUE
25,44,32,25,1,1.8889,TRUE
15,1,0,3,0,1,TRUE
13,48,63,10,0.875,2,TRUE
10,29,20,10,1,1.25,TRUE
15,1,0,3,0,1,TRUE
17,57,2,16,1,7.75,TRUE
5,8,1,5,1,0.3333,TRUE
11,6,1,3,0,0,TRUE
45,147,490,29,0.909091,1.4667,TRUE
12,37,2,7,1,2.5833,TRUE
8,8,4,7,1,0.75,TRUE
8,47,13,8,0.5,1.5,TRUE
34,52,60,12,1,2.8125,TRUE
10,16,3,10,0,1.6667,TRUE
31,36,22,14,1,1.75,TRUE
10,29,20,10,1,1.25,TRUE
9,49,4,7,1,3,TRUE
35,101,3,33,1,1.6667,TRUE
4,13,1,4,0,0.6667,TRUE
18,71,1,16,0.857143,2.7273,TRUE
16,46,87,12,1,1.5,TRUE
12,37,2,7,1,2.5833,TRUE
14,65,20,13,1,5.875,TRUE
17,32,11,16,0.777778,2.8333,TRUE
12,38,27,9,1,2,TRUE
45,147,490,29,0.909091,1.4667,TRUE
20,51,0,16,1,6.4,TRUE
31,36,22,14,1,1.75,TRUE
20,33,8,18,1,2,TRUE
10,44,47,8,0.7,2.6,TRUE
31,107,104,29,0.833333,3.5,TRUE
28,87,150,26,0.727273,2.9167,TRUE
25,9,36,4,0,1,TRUE
35,101,3,33,1,1.6667,TRUE
11,8,0,10,1,1.5,TRUE
34,96,9,32,0.75,4.2857,TRUE
38,102,30,37,1,2.2222,TRUE
5,8,1,5,1,0.3333,TRUE
14,58,100,12,1,2.0588,TRUE
13,1,0,2,0,1,TRUE
18,52,37,15,1,2.0667,TRUE
10,44,47,8,0.7,2.6,TRUE
13,26,2,11,1,3.5,TRUE
17,39,30,16,0.75,1.3333,TRUE
11,8,0,10,1,1.5,TRUE
17,32,11,16,0.777778,2.8333,TRUE
14,58,100,12,1,2.0588,TRUE
9,27,3,9,0,2.6667,TRUE
11,2,1,3,0,1,TRUE
4,22,2,3,1,1.75,TRUE
12,14,0,12,1,2,TRUE
20,51,0,16,1,6.4,TRUE
5,30,1,3,0,4.5,TRUE
14,16,0,14,1,3,TRUE
8,27,35,5,1,1.5714,TRUE
9,17,13,8,1,0.8571,TRUE
13,48,63,10,0.875,2,TRUE
11,8,0,10,1,1.5,TRUE
12,14,0,12,1,2,TRUE
10,30,4,10,1,1.75,TRUE
13,48,63,10,0.875,2,TRUE
20,25,2,20,1,2.25,TRUE
20,25,2,20,1,2.25,TRUE
10,44,47,8,0.7,2.6,TRUE
15,58,100,13,1,2.0588,TRUE
10,36,2,10,1,4.5,TRUE
31,107,104,29,0.833333,3.5,TRUE
7,19,4,7,1,1.5,TRUE
19,15,1,15,0,3.5,TRUE
39,96,30,38,1,2.3333,TRUE
8,8,4,7,1,0.75,TRUE
15,58,100,13,1,2.0588,TRUE
9,49,4,7,1,3,TRUE
26,63,20,26,1,1,TRUE
30,103,48,28,0.833333,4.0625,TRUE
25,44,32,25,1,1.8889,TRUE
6,6,3,5,0,0.3333,TRUE
25,9,36,4,0,1,TRUE
20,51,0,16,1,6.4,TRUE
20,51,0,16,1,6.4,TRUE
11,28,6,11,0.666667,3.2,TRUE
26,77,99,26,1,2.6,TRUE
15,58,100,13,1,2.0588,TRUE
13,36,493,0,1,0.9714,TRUE
11,2,1,3,0,1,TRUE
38,102,30,37,1,2.2222,TRUE
4,29,58,3,1,1.5625,TRUE
18,58,43,16,0.666667,2.6667,TRUE
12,36,3,12,0.666667,3.7143,TRUE
28,87,150,26,0.727273,2.9167,TRUE
71,45,13,21,1,2.1667,TRUE
19,15,1,15,0,3.5,TRUE
11,8,0,10,1,1.5,TRUE
10,44,47,8,0.7,2.6,TRUE
9,49,4,7,1,3,TRUE
5,30,1,3,0,4.5,TRUE
11,28,6,11,0.666667,3.2,TRUE
11,2,1,3,0,1,TRUE
12,37,2,7,1,2.5833,TRUE
35,101,3,33,1,1.6667,TRUE
14,65,20,13,1,5.875,TRUE
13,5,10,3,0,1,TRUE
13,26,0,6,1,1.4,TRUE
13,5,10,3,0,1,TRUE
4,13,1,4,0,0.6667,TRUE
4,29,58,3,1,1.5625,TRUE
28,84,99,28,1,2.6,TRUE
5,30,1,3,0,4.5,TRUE
11,58,28,10,0.666667,4.5556,TRUE
42,105,589,20,0.9,2.0426,TRUE
16,46,87,12,1,1.5,TRUE
14,65,20,13,1,5.875,TRUE
10,44,47,8,0.7,2.6,TRUE
25,9,36,4,0,1,TRUE
29,64,38,28,1,2.0833,TRUE
18,52,37,15,1,2.0667,TRUE
25,44,32,25,1,1.8889,TRUE
45,147,490,29,0.909091,1.4667,TRUE
7,22,11,4,1,1.9,TRUE
18,71,1,16,0.857143,2.7273,TRUE
4,29,58,3,1,1.5625,TRUE
17,38,20,17,1,1.625,TRUE
11,8,0,10,1,1.5,TRUE
5,30,1,3,0,4.5,TRUE
5,30,1,3,0,4.5,TRUE
28,87,150,26,0.727273,2.9167,TRUE
17,38,20,17,1,1.625,TRUE
11,8,0,10,1,1.5,TRUE
13,1,0,2,0,1,TRUE
13,36,493,0,1,0.9714,TRUE
12,38,27,9,1,2,TRUE
15,38,2,14,1,5.6,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
11,38,81,10,1,0.8667,TRUE
10,30,4,10,1,1.75,TRUE
20,62,0,20,1,1.625,TRUE
10,30,4,10,1,1.75,TRUE
12,36,3,12,0.666667,3.7143,TRUE
42,105,589,20,0.9,2.0426,TRUE
