@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z43.80952381-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,4,0,0,1,0.6667,FALSE
12,10,0,9,1,0.6,FALSE
2,4,0,1,1,0.6667,FALSE
7,19,2,7,1,1,FALSE
11,26,13,11,0.333333,1.3333,FALSE
9,26,3,9,0,3.6667,FALSE
7,15,3,7,0,1.3333,FALSE
2,28,87,1,1,0.9444,FALSE
13,28,2,13,1,1.5,FALSE
8,27,35,5,1,1.5714,FALSE
13,14,5,10,0.75,0.6667,FALSE
19,32,9,4,1,2.8571,FALSE
10,20,0,7,1,0.8333,FALSE
9,38,4,9,1,5.4,FALSE
8,21,16,5,0.875,1.75,FALSE
7,23,16,4,0.75,1,FALSE
18,40,4,16,0.5,0.5,FALSE
2,1,0,0,0,1,FALSE
11,48,7,9,0.666667,1.8,FALSE
10,23,13,10,0.333333,1.1667,FALSE
8,11,1,6,1,0.3333,FALSE
14,67,0,13,1,10.4,FALSE
15,35,13,15,0.333333,2,FALSE
23,33,7,5,1,2.3333,TRUE
12,14,0,12,1,2,TRUE
34,96,9,32,0.75,4.2857,TRUE
4,29,58,3,1,1.5625,TRUE
20,25,2,20,1,2.25,TRUE
9,27,3,9,0,2.6667,TRUE
17,39,30,16,0.75,1.3333,TRUE
30,103,48,28,0.833333,4.0625,TRUE
25,9,36,4,0,1,TRUE
13,36,493,0,1,0.9714,TRUE
45,147,490,29,0.909091,1.4667,TRUE
4,22,2,3,1,1.75,TRUE
14,16,0,14,1,3,TRUE
15,14,1,10,0,3.5,TRUE
16,46,87,12,1,1.5,TRUE
28,87,150,26,0.727273,2.9167,TRUE
42,105,589,20,0.9,2.0426,TRUE
20,62,0,20,1,1.625,TRUE
13,26,2,11,1,3.5,TRUE
15,61,234,11,1,2.08,TRUE
25,44,32,25,1,1.8889,TRUE
14,53,78,10,1,2.5882,TRUE
11,56,20,10,1,5.125,TRUE
