@relation ivyA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z39.31623932-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,22,0,97,0,0.4,FALSE
3,19,2,67,0,0.318182,FALSE
19,84,0,685,0.672414,0.166667,FALSE
5,41,3,173,0,0.466667,FALSE
4,13,0,41,0.8125,0.583333,FALSE
25,85,0,568,0.272727,0.313725,FALSE
28,7,2,7,0,1,FALSE
97,31,16,33,0,0.132258,FALSE
21,33,5,162,0,0.188034,FALSE
6,31,0,133,0,0.333333,FALSE
10,38,0,207,0.881579,0.65,FALSE
6,7,3,28,0,0.444444,FALSE
4,18,0,78,0.97619,0.625,FALSE
3,13,2,48,0,0.4,FALSE
5,21,0,83,0.968254,0.5,FALSE
13,12,2,20,0,0.52,FALSE
4,9,3,43,0,0.5,FALSE
20,71,20,476,0.631579,0.296296,FALSE
2,17,2,103,0,0.466667,FALSE
7,22,2,141,0,0.184524,FALSE
17,65,16,440,0.74,0.276786,FALSE
7,70,6,1102,0,0.320313,FALSE
17,28,8,127,0.3,0.25,FALSE
8,5,5,15,0,0.625,TRUE
5,79,0,948,0,0.292857,TRUE
3,17,2,74,0,0.5,TRUE
11,34,11,184,0.571429,0.240385,TRUE
18,52,18,489,0,0.25,TRUE
12,32,4,152,0,0.309524,TRUE
6,33,0,179,0,0.444444,TRUE
6,1,1,1,0,1,TRUE
10,31,5,182,0,0.266667,TRUE
12,51,10,451,0.717647,0.35,TRUE
5,18,0,125,0.538462,0.464286,TRUE
10,60,0,936,0,0.285714,TRUE
7,15,3,83,0.3,0.34375,TRUE
30,20,7,21,0,0.225,TRUE
13,64,0,411,0.82716,0.306667,TRUE
17,57,15,346,0.85,0.192308,TRUE
6,37,4,172,0,0.666667,TRUE
42,27,1,164,0,0.340909,TRUE
72,318,48,3982,0,0.087369,TRUE
16,103,0,824,0.663366,0.314286,TRUE
5,3,0,3,0,0.666667,TRUE
7,52,5,420,0,0.25,TRUE
7,17,4,69,0,0.28,TRUE
