@relation Keymind-AA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z144.2060086

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
0,-25,22,TRUE
0,-23,28,TRUE
38,18,25,TRUE
39,26,49,TRUE
0,-25,120,TRUE
0,-24,44,TRUE
8,23,41,TRUE
0,-24,44,TRUE
0,0,395,TRUE
23,24,23,TRUE
91,24,70,TRUE
52,8,44,TRUE
0,0,35,TRUE
33,8,32,TRUE
9,6,79,TRUE
0,0,35,TRUE
0,-25,120,TRUE
0,0,25,TRUE
0,0,56,TRUE
0,-7,40,TRUE
0,-7,20,TRUE
23,27,23,TRUE
8,23,41,TRUE
0,0,56,TRUE
0,-25,22,TRUE
33,8,32,TRUE
0,-25,120,TRUE
52,9,9,TRUE
0,-28,121,TRUE
15,12,83,TRUE
0,-39,42,TRUE
0,-4,25,TRUE
0,-10,34,TRUE
0,-24,44,TRUE
0,-28,35,TRUE
0,-4,25,TRUE
0,-90,105,TRUE
13,7,79,TRUE
0,-10,145,TRUE
2,2,51,TRUE
10,45,78,TRUE
3,6,55,TRUE
64,6,84,TRUE
0,-7,40,TRUE
0,0,395,TRUE
0,45,38,TRUE
0,-4,25,TRUE
0,-6,19,TRUE
0,0,56,TRUE
0,-8,47,TRUE
13,26,137,TRUE
91,24,70,TRUE
13,26,137,TRUE
52,8,44,TRUE
0,-5,84,TRUE
52,8,44,TRUE
0,-39,42,TRUE
0,-25,120,TRUE
13,7,79,TRUE
23,24,23,TRUE
15,12,83,TRUE
0,-10,55,TRUE
0,-7,40,TRUE
0,45,38,TRUE
0,27,38,TRUE
0,-4,25,TRUE
33,8,32,TRUE
0,-28,55,TRUE
0,-8,47,TRUE
0,-39,35,TRUE
0,-4,25,TRUE
13,26,137,TRUE
0,0,25,TRUE
52,8,44,TRUE
3,6,55,TRUE
0,-37,51,TRUE
0,-10,81,TRUE
3,6,55,TRUE
2,2,51,TRUE
0,-90,105,TRUE
0,-10,81,TRUE
8,23,41,TRUE
39,26,49,TRUE
0,-90,105,TRUE
0,-39,35,TRUE
33,8,32,TRUE
15,12,83,TRUE
0,-8,47,TRUE
13,7,79,TRUE
23,27,23,TRUE
13,7,79,TRUE
0,-24,44,TRUE
0,-6,60,TRUE
91,24,70,TRUE
0,-5,84,TRUE
0,-28,145,TRUE
38,45,10,TRUE
0,-25,46,TRUE
33,8,32,TRUE
0,-25,81,TRUE
0,-28,35,TRUE
0,-39,42,TRUE
0,-25,22,TRUE
0,-72,105,TRUE
0,0,78,TRUE
39,26,49,TRUE
0,-7,120,TRUE
10,45,78,TRUE
0,-8,126,TRUE
0,-72,105,TRUE
8,23,41,TRUE
10,45,78,TRUE
0,-6,19,TRUE
39,26,49,TRUE
0,-24,44,TRUE
0,-10,34,TRUE
23,27,23,TRUE
33,8,32,TRUE
0,45,38,TRUE
0,-28,55,TRUE
0,-37,51,TRUE
0,0,25,TRUE
38,18,25,TRUE
0,27,38,TRUE
0,-23,28,TRUE
33,8,32,TRUE
0,-25,22,TRUE
2,2,51,TRUE
0,-5,84,TRUE
2,2,51,TRUE
23,27,23,TRUE
0,-6,19,TRUE
0,-6,60,TRUE
13,26,137,TRUE
0,-7,88,TRUE
38,45,10,TRUE
15,12,83,TRUE
0,-90,105,TRUE
0,-10,35,TRUE
0,-7,40,TRUE
49,24,33,TRUE
13,26,137,TRUE
0,27,56,TRUE
15,12,83,TRUE
0,45,38,TRUE
2,2,51,TRUE
0,27,38,TRUE
0,-72,105,TRUE
0,45,38,TRUE
0,-28,145,TRUE
0,-10,34,TRUE
29,6,29,TRUE
9,6,79,TRUE
0,-4,25,TRUE
0,-28,55,TRUE
8,23,41,TRUE
0,-7,88,TRUE
0,-6,60,TRUE
0,-39,35,TRUE
64,6,84,TRUE
0,-28,38,TRUE
15,12,83,TRUE
0,-28,145,TRUE
33,8,32,TRUE
0,-5,84,TRUE
15,12,83,TRUE
0,-10,145,TRUE
52,8,44,TRUE
4,45,12,FALSE
21,15,9,FALSE
4,45,12,FALSE
0,27,11,FALSE
0,-39,20,FALSE
0,-7,61,FALSE
4,9,16,FALSE
0,-21,100,FALSE
0,-63,54,FALSE
16,26,15,FALSE
0,-44,649,FALSE
21,15,9,FALSE
9,27,12,FALSE
5,9,11,FALSE
0,-10,29,FALSE
0,-6,46,FALSE
0,-11,26,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
10,9,19,FALSE
0,-7,53,FALSE
0,-7,40,FALSE
7,45,26,FALSE
0,-6,16,FALSE
0,-6,44,FALSE
0,-39,346,FALSE
0,-10,35,FALSE
0,-11,49,FALSE
0,-62,1279,FALSE
27,9,12,FALSE
0,-44,1279,FALSE
0,-10,35,FALSE
0,-28,36,FALSE
0,-28,53,FALSE
0,-62,1279,FALSE
0,-6,73,FALSE
0,-10,36,FALSE
0,-39,14,FALSE
0,-26,56,FALSE
16,27,9,FALSE
0,27,7,FALSE
0,-53,10,FALSE
21,25,39,FALSE
0,-10,55,FALSE
0,-44,1279,FALSE
19,18,13,FALSE
1,44,131,FALSE
0,-44,1279,FALSE
0,-6,35,FALSE
0,-62,680,FALSE
0,-6,20,FALSE
0,-63,23,FALSE
0,-25,19,FALSE
0,27,11,FALSE
7,8,115,FALSE
0,-11,94,FALSE
0,-62,1279,FALSE
0,27,42,FALSE
3,23,8,FALSE
0,-44,1279,FALSE
0,-10,55,FALSE
7,45,26,FALSE
21,15,9,FALSE
2,8,18,FALSE
0,-44,1279,FALSE
0,-10,99,FALSE
0,-44,1279,FALSE
0,-10,37,FALSE
0,-4,19,FALSE
0,-44,1279,FALSE
4,45,12,FALSE
4,45,12,FALSE
0,-62,1279,FALSE
4,45,12,FALSE
7,45,16,FALSE
0,-5,103,FALSE
14,9,15,FALSE
0,-6,20,FALSE
0,-44,1279,FALSE
0,-62,669,FALSE
0,-62,1279,FALSE
0,25,29,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-35,82,FALSE
0,-45,41,FALSE
0,-21,35,FALSE
21,15,9,FALSE
0,-7,61,FALSE
9,27,12,FALSE
0,-63,41,FALSE
0,-44,1279,FALSE
16,26,15,FALSE
0,-24,29,FALSE
7,45,26,FALSE
0,-40,11,FALSE
0,-22,5,FALSE
0,-44,1279,FALSE
0,-16,50,FALSE
30,9,17,FALSE
0,-10,55,FALSE
0,-38,21,FALSE
19,18,13,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
21,25,39,FALSE
16,27,9,FALSE
7,7,12,FALSE
7,8,115,FALSE
14,9,15,FALSE
0,-3,20,FALSE
0,-63,44,FALSE
0,-62,649,FALSE
0,-10,99,FALSE
0,27,7,FALSE
0,-4,15,FALSE
0,-7,101,FALSE
0,-62,1279,FALSE
0,0,57,FALSE
0,25,29,FALSE
4,45,12,FALSE
0,-28,36,FALSE
0,-44,649,FALSE
2,27,16,FALSE
0,-21,14,FALSE
0,-53,10,FALSE
0,-44,1279,FALSE
0,-21,14,FALSE
14,9,15,FALSE
0,-62,1279,FALSE
0,-6,46,FALSE
3,27,15,FALSE
2,27,16,FALSE
30,9,17,FALSE
0,25,29,FALSE
14,18,7,FALSE
0,-44,689,FALSE
0,-7,48,FALSE
0,-89,9,FALSE
0,-44,1279,FALSE
16,26,15,FALSE
0,-16,50,FALSE
0,0,29,FALSE
0,-62,1279,FALSE
0,-45,23,FALSE
0,-63,54,FALSE
30,9,17,FALSE
0,-21,20,FALSE
0,-6,21,FALSE
0,-44,1279,FALSE
16,27,9,FALSE
0,-10,35,FALSE
0,-5,103,FALSE
0,-4,47,FALSE
14,18,7,FALSE
0,-23,37,FALSE
0,-44,1279,FALSE
0,-21,3,FALSE
27,9,12,FALSE
0,-44,1279,FALSE
0,-5,103,FALSE
14,9,15,FALSE
0,-6,20,FALSE
0,-38,21,FALSE
0,-7,101,FALSE
21,15,9,FALSE
14,18,7,FALSE
