@relation ivyA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z160.6837607

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,19,1,97,0,0.285714,FALSE
10,33,4,206,0.45,0.282051,FALSE
2,8,0,24,0,0.5,FALSE
1,7,0,34,0,0.555556,FALSE
3,3,2,14,0.923077,0.75,FALSE
15,86,15,570,0.753086,0.17619,FALSE
16,52,0,336,0.740741,0.46875,FALSE
11,40,0,212,0,0.416667,FALSE
8,18,4,114,0.272727,0.444444,FALSE
5,9,4,29,0,0.5,FALSE
10,21,5,130,0,0.3125,FALSE
6,14,4,60,0.75,0.333333,FALSE
14,103,14,642,0.592233,0.372093,FALSE
16,52,0,336,0.740741,0.46875,FALSE
3,4,2,10,0.833333,0.666667,FALSE
21,6,5,6,0,0.37037,FALSE
14,21,3,75,0,0.4,FALSE
6,38,4,180,0,0.666667,FALSE
7,34,6,288,0,0.333333,FALSE
21,6,5,6,0,0.37037,FALSE
16,16,4,77,0,0.26,FALSE
6,9,5,41,0.875,0.466667,FALSE
9,12,8,59,0,0.5,FALSE
28,7,2,7,0,1,FALSE
5,24,5,140,0.880435,0.25,FALSE
19,12,6,12,0,0.316667,FALSE
9,21,5,141,0,0.3125,FALSE
11,28,8,127,0.125,0.25,FALSE
8,28,8,101,0.956044,0.7,FALSE
9,54,9,558,0.743902,0.530303,FALSE
17,65,16,440,0.74,0.276786,FALSE
14,21,3,75,0,0.4,FALSE
9,4,0,4,0,0.75,FALSE
2,12,1,53,0,0.7,FALSE
26,8,3,8,0,1,FALSE
38,7,0,7,0,0.571429,FALSE
27,123,23,1851,0,0.204545,FALSE
9,12,8,59,0,0.5,FALSE
13,5,2,5,0,0.666667,FALSE
7,26,7,138,0.890909,0.357143,FALSE
9,4,0,4,0,0.75,FALSE
10,4,1,20,0,0.555556,FALSE
30,65,29,412,0,0.571429,FALSE
38,7,0,7,0,0.571429,FALSE
7,26,3,119,0,0.272727,FALSE
16,29,3,149,0,0.193878,FALSE
8,26,7,127,0,0.314286,FALSE
5,9,4,29,0,0.5,FALSE
19,107,0,659,0.650485,0.32973,FALSE
3,34,3,191,0.835616,0.487179,FALSE
13,23,11,201,0,0.583333,FALSE
28,7,2,7,0,1,FALSE
6,7,3,28,0,0.444444,FALSE
15,34,14,326,0,0.6,FALSE
1,7,0,34,0,0.555556,FALSE
2,8,0,20,1,0.666667,FALSE
6,22,5,89,0,0.55,FALSE
16,16,4,77,0,0.26,FALSE
2,8,0,20,1,0.666667,FALSE
4,21,0,68,0,0.340909,FALSE
14,3,1,3,0,1,FALSE
12,21,3,75,0,0.4,FALSE
7,26,7,172,0.802632,0.71875,FALSE
8,28,8,101,0.956044,0.7,FALSE
2,8,0,24,0,0.5,FALSE
3,24,3,222,0,0.316667,FALSE
5,21,0,83,0.968254,0.5,FALSE
3,7,0,17,0.98895,1,FALSE
14,3,1,3,0,1,FALSE
5,17,1,121,0,0.34375,FALSE
7,8,0,34,0,0.777778,FALSE
2,6,1,20,0,0.5,FALSE
26,11,2,41,0,0.466667,FALSE
4,21,0,68,0,0.340909,FALSE
14,3,1,3,0,1,FALSE
5,1,2,1,0,1,FALSE
4,1,1,1,0,1,FALSE
7,26,7,145,0.910448,0.357143,FALSE
8,1,0,1,0,1,FALSE
15,34,14,326,0,0.6,FALSE
9,4,0,4,0,0.666667,FALSE
4,18,0,78,0.97619,0.625,FALSE
1,7,0,34,0,0.555556,FALSE
12,26,3,242,0.545455,0.222222,FALSE
16,52,0,336,0.740741,0.46875,FALSE
2,22,0,97,0,0.4,FALSE
15,34,14,326,0,0.6,FALSE
10,4,1,20,0,0.555556,FALSE
12,26,3,242,0.545455,0.222222,FALSE
16,16,4,77,0,0.26,FALSE
10,4,1,20,0,0.555556,FALSE
5,9,0,34,0,0.5,FALSE
3,8,0,51,0,0.535714,FALSE
26,11,2,41,0,0.466667,FALSE
10,36,10,166,0.454545,0.377778,FALSE
3,6,2,48,0.833333,0.666667,FALSE
16,59,15,354,0.752941,0.162879,FALSE
2,19,1,97,0,0.285714,FALSE
4,19,3,57,0.75,0.5,FALSE
7,12,3,40,0,0.428571,FALSE
21,33,5,162,0,0.188034,FALSE
4,6,0,6,0,0.75,FALSE
10,4,1,20,0,0.555556,FALSE
2,6,1,35,0,0.5,FALSE
7,36,7,243,0.743902,0.363636,FALSE
14,103,14,642,0.592233,0.372093,FALSE
5,6,4,21,0.5,0.5,FALSE
9,8,2,30,0,0.466667,FALSE
2,59,1,682,0,0.4375,FALSE
4,11,0,28,0.968504,0.6,FALSE
38,7,0,7,0,0.571429,FALSE
12,102,12,782,0.753086,0.178571,FALSE
3,7,0,17,0.98895,1,FALSE
6,17,0,58,0,0.833333,FALSE
2,15,0,95,0,0.727273,FALSE
13,23,11,201,0,0.583333,FALSE
16,74,12,610,0,0.147826,FALSE
10,74,9,608,0.889474,0.233766,FALSE
19,12,6,12,0,0.316667,FALSE
4,1,2,1,0,1,FALSE
10,8,3,8,0,1,FALSE
7,8,0,34,0,0.777778,FALSE
5,9,0,34,0,0.5,FALSE
9,11,4,46,0,0.2,FALSE
2,6,1,23,0,0.666667,FALSE
6,7,3,28,0,0.444444,FALSE
3,3,2,14,0.923077,0.75,FALSE
6,1,2,1,0,1,FALSE
8,15,7,78,0.875,0.444444,FALSE
15,86,15,570,0.753086,0.17619,FALSE
5,21,0,83,0.968254,0.5,FALSE
4,44,2,208,0,0.5625,FALSE
10,41,10,214,0.5,0.4,FALSE
11,12,0,45,0,0.333333,FALSE
28,7,2,7,0,1,FALSE
2,15,0,95,0,0.727273,FALSE
5,13,2,76,0.6,0.458333,FALSE
8,15,6,67,0,0.65,FALSE
5,24,5,140,0.880435,0.25,FALSE
30,65,29,412,0,0.571429,FALSE
5,17,1,121,0,0.34375,FALSE
22,1,0,1,0,1,FALSE
6,17,2,112,0,0.25,FALSE
6,7,3,28,0,0.444444,FALSE
2,6,0,21,0,0.5,FALSE
7,36,7,243,0.743902,0.363636,FALSE
2,8,0,24,0,0.5,FALSE
5,2,4,9,1,1,FALSE
5,14,0,43,0.636364,0.666667,FALSE
9,12,8,59,0,0.5,FALSE
8,3,0,14,0.8,0.625,FALSE
13,23,11,201,0,0.583333,FALSE
5,9,4,29,0,0.5,FALSE
6,17,0,58,0,0.833333,FALSE
4,3,4,17,0.928571,0.6,FALSE
10,36,10,166,0.454545,0.377778,FALSE
2,20,0,67,0.910448,0.571429,FALSE
2,8,0,24,0,0.5,FALSE
8,18,4,114,0.272727,0.444444,FALSE
9,40,7,286,0.606061,0.5,FALSE
5,6,4,21,0.5,0.5,FALSE
7,34,4,217,0,0.202614,FALSE
2,19,1,97,0,0.285714,FALSE
3,4,2,10,0.833333,0.666667,FALSE
9,54,9,558,0.743902,0.530303,FALSE
14,21,3,75,0,0.4,FALSE
9,8,2,30,0,0.466667,FALSE
14,103,14,642,0.592233,0.372093,FALSE
16,74,12,610,0,0.147826,FALSE
41,17,0,148,0,0.407407,FALSE
6,28,0,95,0.924812,0.431818,FALSE
19,107,0,659,0.650485,0.32973,FALSE
10,21,5,130,0,0.3125,FALSE
10,33,4,206,0.45,0.282051,FALSE
16,16,4,77,0,0.26,FALSE
15,34,14,326,0,0.6,FALSE
13,5,2,5,0,0.666667,FALSE
2,19,1,97,0,0.285714,FALSE
6,17,0,58,0,0.833333,FALSE
4,19,3,57,0.714286,0.5,FALSE
2,8,0,24,0,0.5,FALSE
6,38,4,180,0,0.666667,FALSE
9,23,8,125,0,0.444444,FALSE
6,14,4,60,0.75,0.333333,FALSE
2,15,0,95,0,0.727273,FALSE
9,4,0,4,0,0.75,FALSE
4,6,0,6,0,0.75,FALSE
5,9,0,34,0,0.5,FALSE
14,44,7,255,0,0.177273,TRUE
42,27,1,164,0,0.340909,TRUE
30,20,7,21,0,0.225,TRUE
13,94,0,1203,0.73913,0.357143,TRUE
9,44,9,230,0.777778,0.366667,TRUE
12,64,12,464,0.7,0.345455,TRUE
16,65,0,877,0,0.416667,TRUE
27,13,0,87,0,0.444444,TRUE
8,5,5,15,0,0.625,TRUE
20,12,9,12,0,0.2,TRUE
37,153,37,1515,0.307692,0.122333,TRUE
14,58,13,478,0,0.307692,TRUE
30,173,21,2020,0,0.122201,TRUE
12,29,0,99,0.142857,0.238095,TRUE
7,21,4,108,0,0.5625,TRUE
27,13,0,87,0,0.444444,TRUE
72,318,48,3982,0,0.087369,TRUE
16,49,7,255,0.755102,0.285714,TRUE
16,49,7,255,0.755102,0.285714,TRUE
72,318,48,3982,0,0.087369,TRUE
12,32,4,152,0,0.309524,TRUE
13,88,13,531,0.597561,0.375,TRUE
9,44,9,230,0.777778,0.366667,TRUE
27,13,0,87,0,0.444444,TRUE
154,583,98,8095,0,0.068627,TRUE
13,94,0,1203,0.73913,0.357143,TRUE
12,64,12,464,0.7,0.345455,TRUE
30,173,21,2020,0,0.122201,TRUE
7,21,4,108,0,0.5625,TRUE
21,114,19,1472,0.472222,0.238889,TRUE
30,20,7,21,0,0.225,TRUE
8,39,7,193,0.695652,0.375,TRUE
72,318,48,3982,0,0.087369,TRUE
16,49,7,255,0.755102,0.285714,TRUE
8,42,7,329,0,0.263158,TRUE
8,5,5,15,0,0.625,TRUE
32,104,29,955,0,0.3125,TRUE
42,27,1,164,0,0.340909,TRUE
10,4,1,4,0,0.55,TRUE
12,29,0,99,0.142857,0.238095,TRUE
12,51,10,451,0.717647,0.35,TRUE
72,318,48,3982,0,0.087369,TRUE
14,58,13,478,0,0.307692,TRUE
16,65,0,877,0,0.416667,TRUE
5,3,0,3,0,0.666667,TRUE
12,29,0,99,0.142857,0.238095,TRUE
9,44,9,230,0.777778,0.366667,TRUE
18,52,18,489,0,0.25,TRUE
10,4,1,4,0,0.55,TRUE
10,36,10,159,0.454545,0.377778,TRUE
13,88,13,531,0.597561,0.375,TRUE
12,29,0,99,0.142857,0.238095,TRUE
14,58,13,478,0,0.307692,TRUE
13,88,13,531,0.597561,0.375,TRUE
3,35,1,303,0,0.357143,TRUE
42,27,1,164,0,0.340909,TRUE
19,39,13,178,0.3,0.328125,TRUE
11,34,11,184,0.571429,0.240385,TRUE
10,36,10,159,0.454545,0.377778,TRUE
14,44,7,255,0,0.177273,TRUE
8,43,8,226,0.765625,0.359375,TRUE
32,104,29,955,0,0.3125,TRUE
30,173,21,2020,0,0.122201,TRUE
10,4,1,4,0,0.55,TRUE
15,68,14,472,0.676471,0.180124,TRUE
9,44,9,230,0.777778,0.366667,TRUE
20,12,9,12,0,0.2,TRUE
20,12,9,12,0,0.2,TRUE
16,65,0,877,0,0.416667,TRUE
15,68,14,472,0.676471,0.180124,TRUE
16,49,7,255,0.755102,0.285714,TRUE
11,17,4,103,0,0.241667,TRUE
13,6,3,6,0,1,TRUE
12,29,0,99,0.142857,0.238095,TRUE
12,32,4,152,0,0.309524,TRUE
20,12,9,12,0,0.2,TRUE
15,68,14,472,0.676471,0.180124,TRUE
19,39,13,178,0.3,0.328125,TRUE
7,15,3,83,0.3,0.34375,TRUE
12,51,10,451,0.717647,0.35,TRUE
13,88,13,531,0.597561,0.375,TRUE
18,52,18,489,0,0.25,TRUE
150,67,5,653,0.28,0.280303,TRUE
5,3,0,3,0,0.666667,TRUE
6,39,3,193,0,0.35,TRUE
20,12,9,12,0,0.2,TRUE
16,65,0,877,0,0.416667,TRUE
8,39,7,193,0.695652,0.375,TRUE
9,44,9,230,0.777778,0.366667,TRUE
14,44,7,255,0,0.177273,TRUE
12,51,10,451,0.717647,0.35,TRUE
13,94,0,1203,0.73913,0.357143,TRUE
5,3,0,3,0,0.666667,TRUE
27,13,0,87,0,0.444444,TRUE
11,34,11,184,0.571429,0.240385,TRUE
10,60,0,936,0,0.285714,TRUE
8,42,7,329,0,0.263158,TRUE
19,81,17,681,0,0.285714,TRUE
5,3,0,3,0,0.666667,TRUE
30,173,21,2020,0,0.122201,TRUE
7,15,3,83,0.3,0.34375,TRUE
10,4,1,4,0,0.55,TRUE
10,4,1,4,0,0.55,TRUE
32,104,29,955,0,0.3125,TRUE
154,583,98,8095,0,0.068627,TRUE
27,13,0,87,0,0.444444,TRUE
14,58,13,478,0,0.307692,TRUE
16,65,0,877,0,0.416667,TRUE
11,17,4,103,0,0.241667,TRUE
12,32,4,152,0,0.309524,TRUE
8,39,7,193,0.695652,0.375,TRUE
13,64,0,411,0.82716,0.306667,TRUE
32,104,29,955,0,0.3125,TRUE
32,104,29,955,0,0.3125,TRUE
13,6,3,6,0,1,TRUE
19,39,13,178,0.3,0.328125,TRUE
10,60,0,936,0,0.285714,TRUE
8,42,7,329,0,0.263158,TRUE
72,318,48,3982,0,0.087369,TRUE
12,29,0,99,0.142857,0.238095,TRUE
10,31,5,182,0,0.266667,TRUE
30,173,21,2020,0,0.122201,TRUE
8,5,5,15,0,0.625,TRUE
11,17,4,103,0,0.241667,TRUE
27,13,0,87,0,0.444444,TRUE
7,17,4,69,0,0.28,TRUE
15,68,14,472,0.676471,0.180124,TRUE
12,32,4,152,0,0.309524,TRUE
12,29,0,99,0.142857,0.238095,TRUE
12,64,12,464,0.7,0.345455,TRUE
10,4,1,4,0,0.55,TRUE
3,35,1,303,0,0.357143,TRUE
5,3,0,3,0,0.666667,TRUE
8,6,2,6,0,1,TRUE
10,60,0,936,0,0.285714,TRUE
18,52,18,489,0,0.25,TRUE
15,68,14,472,0.676471,0.180124,TRUE
42,27,1,164,0,0.340909,TRUE
13,94,0,1203,0.73913,0.357143,TRUE
11,34,11,184,0.571429,0.240385,TRUE
8,42,7,329,0,0.263158,TRUE
14,44,7,255,0,0.177273,TRUE
7,21,4,108,0,0.5625,TRUE
7,15,3,83,0.3,0.34375,TRUE
13,6,3,6,0,1,TRUE
8,43,8,226,0.765625,0.359375,TRUE
10,31,5,182,0,0.266667,TRUE
30,20,7,21,0,0.225,TRUE
16,65,0,877,0,0.416667,TRUE
9,44,9,230,0.777778,0.366667,TRUE
8,39,7,193,0.695652,0.375,TRUE
12,29,0,99,0.142857,0.238095,TRUE
13,64,0,411,0.82716,0.306667,TRUE
72,318,48,3982,0,0.087369,TRUE
13,94,0,1203,0.73913,0.357143,TRUE
8,5,5,15,0,0.625,TRUE
15,68,14,472,0.676471,0.180124,TRUE
14,44,7,255,0,0.177273,TRUE
8,39,7,193,0.695652,0.375,TRUE
10,31,5,182,0,0.266667,TRUE
16,65,0,877,0,0.416667,TRUE
14,58,13,478,0,0.307692,TRUE
30,20,7,21,0,0.225,TRUE
72,318,48,3982,0,0.087369,TRUE
9,44,9,230,0.777778,0.366667,TRUE
7,17,4,69,0,0.28,TRUE
10,36,10,159,0.454545,0.377778,TRUE
14,44,7,255,0,0.177273,TRUE
8,39,7,193,0.695652,0.375,TRUE
19,81,17,681,0,0.285714,TRUE
15,68,14,472,0.676471,0.180124,TRUE
37,153,37,1515,0.307692,0.122333,TRUE
8,5,5,15,0,0.625,TRUE
13,64,0,411,0.82716,0.306667,TRUE
10,60,0,936,0,0.285714,TRUE
9,44,9,230,0.777778,0.366667,TRUE
19,81,17,681,0,0.285714,TRUE
18,52,18,489,0,0.25,TRUE
21,114,19,1472,0.472222,0.238889,TRUE
11,17,4,103,0,0.241667,TRUE
8,5,5,15,0,0.625,TRUE
12,29,0,99,0.142857,0.238095,TRUE
16,49,7,255,0.755102,0.285714,TRUE
8,5,5,15,0,0.625,TRUE
3,35,1,303,0,0.357143,TRUE
7,21,4,108,0,0.5625,TRUE
20,12,9,12,0,0.2,TRUE
11,34,11,184,0.571429,0.240385,TRUE
